#
#   version : 20090611
#    num_fr : 9
#      time : 20101004 07:42:09.929 UTC
#      unix : 1286178129.929854
#       ntp : LOCK -12619 341264 4802
#       seq : 65241190
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal 20090611
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   30  -0.400  1305 65241178  150.276  466.397  76.438  -86.894  -6.00  -6.00  0000
   35  -0.234  1423 65241183  146.505  467.327  77.352  -86.347  -6.02  -6.02  0000
   37  -0.167  1573 65241185  145.743  467.703  77.584  -86.261  -6.21  -6.21  0000
   38  -0.133  1512 65241186  145.942  467.396  77.472  -86.258  -6.33  -6.33  0000
   39  -0.100  1586 65241187  145.209  467.879  77.725  -86.190  -6.71  -6.71  0000
   40  -0.067  1563 65241188  144.909  468.106  77.836  -86.165  -6.20  -6.20  0000
   41  -0.033  4257 65241189  143.273  468.394  78.210  -85.920  -8.53  -8.53  0000
   42   0.000 10256 65241190  142.119  469.876  78.785  -85.900  -9.70  -9.70  0000
   43   0.033  4845 65241191  142.337  468.736  78.468  -85.801  -8.79  -8.79  0000
