#
#   version : 20090611
#    num_fr : 49
#      time : 20130923 07:31:09.036 UTC
#      unix : 1379921469.036831
#       ntp : LOCK -646 276256 591
#       seq : 70367134
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal_20100816_20100506-404-gd3
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   29  -1.001  4284 70367104  182.145  357.998  45.583  -75.206  -7.68  -0.86  0000
   31  -0.934  5340 70367106  187.088  361.977  45.208  -77.298  -7.22  -0.40  0000
   32  -0.901  4264 70367107  191.785  364.611  44.695  -79.034  -7.32  -0.50  0000
   33  -0.868  4942 70367108  194.373  366.817  44.577  -80.190  -7.15  -0.33  0000
   34  -0.834  4656 70367109  195.912  368.785  44.644  -81.036  -7.45  -0.63  0000
   35  -0.801  4929 70367110  198.846  369.999  44.293  -82.050  -7.63  -0.81  0000
   36  -0.767  4023 70367111  200.967  371.892  44.254  -83.029  -7.81  -0.99  0000
   37  -0.734  5103 70367112  204.895  373.330  43.789  -84.378  -7.96  -1.14  0000
   38  -0.701  4559 70367113  207.107  374.317  43.577  -85.190  -7.92  -1.10  0000
   39  -0.667  5278 70367114  209.389  376.218  43.554  -86.230  -8.30  -1.48  0000
   40  -0.634  5575 70367115  214.411  378.878  43.225  -88.199  -8.36  -1.54  0000
   41  -0.601  5804 70367116  215.784  380.731  43.392  -88.978  -8.18  -1.36  0000
   42  -0.567  5115 70367117  218.929  381.844  43.105  -90.111  -8.17  -1.35  0000
   43  -0.534  6349 70367118  221.131  383.549  43.123  -91.096  -8.36  -1.54  0000
   44  -0.500  5020 70367119  224.875  384.838  42.815  -92.462  -8.34  -1.52  0000
   45  -0.467  4922 70367120  227.378  386.159  42.730  -93.472  -8.37  -1.55  0000
   46  -0.434  7385 70367121  229.446  388.056  42.860  -94.456  -8.24  -1.42  0000
   47  -0.400  5450 70367122  233.757  389.779  42.639  -96.103  -8.23  -1.41  0000
   48  -0.367  6988 70367123  236.963  391.684  42.650  -97.442  -8.29  -1.47  0000
   49  -0.334  5965 70367124  239.367  393.666  42.810  -98.533  -8.11  -1.29  0000
   50  -0.300  7004 70367125  242.551  394.355  42.568  -99.670  -8.05  -1.23  0000
   51  -0.267  5412 70367126  247.620  396.863  42.574 -101.708  -8.16  -1.34  0000
   52  -0.234  4591 70367127  250.002  398.777  42.783 -102.765  -8.20  -1.38  0000
   53  -0.200  5664 70367128  252.468  399.750  42.758 -103.717  -8.36  -1.54  0000
   54  -0.167  5385 70367129  256.036  400.698  42.626 -105.039  -8.44  -1.62  0000
   55  -0.133  6183 70367130  258.374  402.388  42.829 -106.035  -8.85  -2.03  0000
   56  -0.100  7064 70367131  262.065  403.896  42.875 -107.463  -9.06  -2.24  0000
   57  -0.067  5903 70367132  265.338  404.556  42.760 -108.658  -8.99  -2.17  0000
   58  -0.033  6855 70367133  269.393  406.514  42.949 -110.249  -8.63  -1.81  0000
   59   0.000  7639 70367134  271.868  407.928  43.139 -111.233  -8.95  -2.13  0000
   60   0.033  6574 70367135  277.091  409.236  43.135 -113.155  -8.88  -2.06  0000
   61   0.067  6398 70367136  278.181  410.347  43.366 -113.616  -8.77  -1.95  0000
   62   0.100  7453 70367137  282.594  411.997  43.560 -115.262  -8.74  -1.92  0000
   63   0.133  7241 70367138  285.763  412.784  43.615 -116.414  -8.66  -1.84  0000
   64   0.167  5350 70367139  288.478  414.448  43.947 -117.444  -8.63  -1.81  0000
   65   0.200  6307 70367140  294.176  415.263  43.958 -119.466  -8.50  -1.68  0000
   66   0.234  6395 70367141  296.079  416.934  44.359 -120.182  -8.35  -1.53  0000
   67   0.267  6264 70367142  299.377  417.982  44.562 -121.352  -8.38  -1.56  0000
   68   0.300  5610 70367143  302.684  418.355  44.599 -122.503  -8.35  -1.53  0000
   69   0.334  4460 70367144  307.301  420.492  45.129 -124.116  -8.20  -1.38  0000
   70   0.367  4621 70367145  311.071  421.138  45.286 -125.407  -7.90  -1.08  0000
   71   0.400  4208 70367146  312.893  422.599  45.690 -126.021  -7.86  -1.04  0000
   72   0.434  4375 70367147  316.029  423.046  45.823 -127.078  -7.66  -0.84  0000
   73   0.467  4552 70367148  319.274  424.047  46.129 -128.154  -7.38  -0.56  0000
   74   0.501  4546 70367149  324.532  424.775  46.413 -129.893  -7.50  -0.68  0000
   75   0.534  4451 70367150  327.432  425.176  46.589 -130.842  -7.12  -0.30  0000
   76   0.567  3466 70367151  327.989  426.259  46.903 -130.989  -6.91  -0.09  0000
   78   0.634  3698 70367153  334.482  428.051  47.598 -133.033  -6.81   0.01  0000
   79   0.667  2378 70367154  337.532  427.750  47.632 -134.029  -6.33   0.49  0000
