#
#   version : 20090611
#    num_fr : 15
#      time : 20091117 10:34:44.429 UTC
#      unix : 1258454084.429519
#       ntp : LOCK -3388 195526 2262
#       seq : 37790367
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : 
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   30  -0.234  1261 37790360  391.853  196.515  23.697  120.663  -5.65  -5.65  0000
   31  -0.200  1870 37790361  395.976  196.182  24.743  121.559  -6.71  -6.71  0000
   32  -0.167  2656 37790362  400.070  195.694  25.807  122.293  -7.45  -7.45  0000
   33  -0.133  4410 37790363  403.449  195.322  26.686  122.870  -8.33  -8.33  0000
   34  -0.100  7000 37790364  406.664  195.177  27.504  123.488  -9.07  -9.07  0000
   35  -0.067 10506 37790365  409.415  194.453  28.269  123.696  -9.81  -9.81  0000
   36  -0.033 14176 37790366  412.391  194.196  29.045  124.156 -10.38 -10.38  0000
   37   0.000 16374 37790367  415.914  192.776  30.078  124.158 -10.77 -10.77  0000
   38   0.033 13245 37790368  419.918  190.933  31.278  124.057 -10.87 -10.87  0000
   39   0.067 13124 37790369  422.841  188.975  32.218  123.725 -10.58 -10.58  0000
   40   0.100 13907 37790370  425.949  188.735  33.032  124.156 -10.55 -10.55  0000
   41   0.133 13442 37790371  430.177  190.475  33.944  125.553 -10.94 -10.94  0000
   42   0.167 14879 37790372  435.088  190.605  35.201  126.326 -10.90 -10.90  0000
   43   0.200  8607 37790373  439.690  192.330  36.248  127.623  -9.59  -9.59  0000
   44   0.234  1408 37790374  444.699  191.896  37.601  128.075  -5.76  -5.76  0000
