#
#   version : 20090611
#    num_fr : 14
#      time : 20091117 11:41:44.139 UTC
#      unix : 1258458104.139651
#       ntp : LOCK -5431 1168639 2100
#       seq : 37910838
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : 
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   30  -0.434  1431 37910825  122.421  145.331  56.875   -6.861  -5.49  -5.49  0000
   31  -0.400  1533 37910826  121.885  143.801  57.202   -6.547  -6.12  -6.12  0000
   32  -0.367  2528 37910827  120.398  142.900  57.703   -6.490  -7.18  -7.18  0000
   33  -0.334  3631 37910828  120.319  141.361  57.915   -6.130  -8.18  -8.18  0000
   34  -0.300  4616 37910829  119.059  139.524  58.475   -5.830  -8.41  -8.41  0000
   35  -0.267  6038 37910830  118.454  137.780  58.856   -5.486  -8.96  -8.96  0000
   36  -0.234  7932 37910831  117.352  135.993  59.374   -5.190  -9.33  -9.33  0000
   37  -0.200  8535 37910832  116.181  134.163  59.918   -4.897  -9.41  -9.41  0000
   38  -0.167  9901 37910833  115.583  132.231  60.329   -4.522  -9.54  -9.54  0000
   39  -0.133  9407 37910834  114.275  130.536  60.896   -4.283  -9.56  -9.56  0000
   40  -0.100  8885 37910835  113.960  129.408  61.130   -4.065  -9.39  -9.39  0000
   42  -0.033  7756 37910837  111.890  125.770  62.167   -3.489  -9.16  -9.16  0000
   43   0.000 11054 37910838  109.926  122.905  63.077   -3.084  -9.95  -9.95  0000
   44   0.033  1908 37910839  111.341  122.273  62.799   -2.788  -6.17  -6.17  0000
