#
#   version : 20090611
#    num_fr : 12
#      time : 20091117 12:25:40.502 UTC
#      unix : 1258460740.502581
#       ntp : LOCK -6395 442951 1862
#       seq : 37989850
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : 
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   30  -0.200  3236 37989844  547.960  147.256  70.129  125.218  -7.46  -7.46  0000
   31  -0.167  4642 37989845  550.192  146.682  70.837  125.254  -8.61  -8.61  0000
   32  -0.133  5911 37989846  550.968  146.251  71.108  125.219  -9.10  -9.10  0000
   33  -0.100  8844 37989847  552.382  144.443  71.712  124.949  -9.75  -9.75  0000
   34  -0.067  8781 37989848  552.839  144.020  71.890  124.895 -10.03 -10.03  0000
   35  -0.033  8642 37989849  554.716  142.613  72.590  124.742 -10.13 -10.13  0000
   36   0.000 10972 37989850  555.492  141.531  72.934  124.579 -10.48 -10.48  0000
   37   0.033 10496 37989851  556.397  139.860  73.383  124.311 -10.77 -10.77  0000
   38   0.067 10953 37989852  556.590  140.146  73.408  124.381 -10.62 -10.62  0000
   39   0.100  6682 37989853  558.685  140.627  73.969  124.618  -9.71  -9.71  0000
   40   0.133  3464 37989854  557.983  140.985  73.724  124.641  -8.27  -8.27  0000
   41   0.167  2166 37989855  557.764  141.051  73.652  124.639  -7.34  -7.34  0000
