#
#   version : 20090611
#    num_fr : 8
#      time : 20091117 09:13:47.313 UTC
#      unix : 1258449227.313312
#       ntp : LOCK -162 321649 2814
#       seq : 37644799
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : 
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   29  -0.100  1797 37644796  235.350  380.281  42.678  -94.535  -6.50  -6.50  0000
   30  -0.067  2276 37644797  237.091  382.627  43.007  -95.482  -7.10  -7.10  0000
   31  -0.033  3038 37644798  238.942  385.186  43.387  -96.484  -8.03  -8.03  0000
   32   0.000  3289 37644799  240.818  387.874  43.808  -97.497  -7.99  -7.99  0000
   33   0.033  2823 37644800  242.520  390.384  44.220  -98.410  -7.97  -7.97  0000
   34   0.067  3136 37644801  244.879  392.976  44.590  -99.528  -7.96  -7.96  0000
   35   0.100  2312 37644802  245.811  395.891  45.211 -100.214  -7.15  -7.15  0000
   38   0.200  1548 37644805  275.869  385.202  39.857 -109.469  -6.37  -6.37  0000
