#
#   version : 20090611
#    num_fr : 11
#      time : 20131119 09:02:48.615 UTC
#      unix : 1384851768.615268
#       ntp : LOCK -2418 1062817 4487
#       seq : 218124896
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal_20100816_20100506-404-gd3
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   30  -0.267  4704 218124888  307.481  413.311  43.144 -124.137    nan    nan  0000
   31  -0.234  4843 218124889  310.687  415.422  43.706 -125.282  -6.08   0.74  0000
   32  -0.200  8393 218124890  312.552  417.971  44.407 -125.929  -7.39  -0.57  0000
   33  -0.167  4152 218124891  315.842  419.926  44.958 -127.050  -8.63  -1.81  0000
   34  -0.133  7058 218124892  317.877  420.503  45.132 -127.741  -8.85  -2.03  0000
   35  -0.100  5658 218124893  320.489  423.817  46.080 -128.566  -9.19  -2.37  0000
   36  -0.067  5844 218124894  323.726  426.129  46.773 -129.589  -8.94  -2.12  0000
   37  -0.033 11687 218124895  325.776  429.560  47.768 -130.165  -9.29  -2.47  0000
   38   0.000 12318 218124896  329.231  430.087  47.998 -131.261  -8.86  -2.04  0000
   39   0.033  6307 218124897  331.008  431.979  48.575 -131.760  -8.75  -1.93  0000
   40   0.067  2477 218124898  334.411  433.570  49.127 -132.769  -4.40   2.42  0000
