#
#   version : 20090611
#    num_fr : 10
#      time : 20101023 05:45:46.656 UTC
#      unix : 1287812746.656108
#       ntp : LOCK -21486 590463 7564
#       seq : 114230567
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal 20090611
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   29  -0.133  2094 114230563  388.947  282.792  23.786  176.630  -6.77  -6.77  0000
   30  -0.100  3090 114230564  390.885  285.161  24.549  177.236  -7.72  -7.72  0000
   31  -0.067  3472 114230565  391.831  288.379  25.207  178.548  -8.05  -8.05  0000
   32  -0.033  5330 114230566  391.546  290.531  25.447  179.695  -8.35  -8.35  0000
   33   0.000  6282 114230567  392.691  294.654  26.308 -178.752  -8.61  -8.61  0000
   34   0.033  3604 114230568  394.721  296.939  27.101 -178.403  -8.40  -8.40  0000
   35   0.067  4316 114230569  395.244  300.271  27.728 -177.129  -8.06  -8.06  0000
   37   0.133  2937 114230571  396.983  308.594  29.445 -174.335  -6.84  -6.84  0000
   38   0.167  3113 114230572  398.849  312.310  30.460 -173.554  -7.21  -7.21  0000
   39   0.200  3788 114230573  398.279  314.230  30.672 -172.663  -6.72  -6.72  0000
