#
#   version : 20090611
#    num_fr : 23
#      time : 20140812 02:33:47.284 UTC
#      unix : 1407810827.284963
#       ntp : LOCK 240 683713 277
#       seq : 26614252
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal_20100816_20100506-404-gd3
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   29  -0.234  3550 26614245  138.557  476.027  80.091  -87.692  -9.14  -2.32  0000
   30  -0.200  4560 26614246  143.795  471.981  78.003  -88.043  -9.74  -2.92  0000
   31  -0.167  5757 26614247  153.021  465.735  74.607  -88.812  -9.30  -2.48  0000
   32  -0.133  3304 26614248  160.092  460.300  71.895  -89.363  -8.85  -2.03  0000
   33  -0.100  6364 26614249  178.045  453.829  67.011  -91.892  -9.55  -2.73  0000
   34  -0.067  5983 26614250  198.641  439.442  59.996  -94.337  -8.94  -2.12  0000
   35  -0.033  5366 26614251  210.233  438.489  57.991  -96.877  -9.26  -2.44  0000
   36   0.000  6775 26614252  243.121  422.851  49.734 -103.609  -9.48  -2.66  0000
   37   0.033  6436 26614253  265.062  412.954  45.005 -109.375  -9.48  -2.66  0000
   38   0.067  6702 26614254  284.982  403.732  41.199 -115.617  -9.23  -2.41  0000
   39   0.100  5292 26614255  316.530  387.117  35.988 -127.790  -8.90  -2.08  0000
   40   0.133  6164 26614256  337.579  371.571  32.521 -138.054  -8.53  -1.71  0000
   41   0.167  5041 26614257  354.102  361.024  31.113 -147.137  -8.86  -2.04  0000
   42   0.200  5559 26614258  368.274  347.981  29.671 -156.397  -8.85  -2.03  0000
   43   0.234  5789 26614259  381.079  337.299  29.334 -164.953  -8.99  -2.17  0000
   44   0.267  4987 26614260  394.629  325.223  29.577 -174.280  -8.95  -2.13  0000
   45   0.300  5181 26614261  402.431  315.759  29.684  179.474  -8.96  -2.14  0000
   46   0.334  5094 26614262  412.569  304.104  30.432  171.839  -8.72  -1.90  0000
   47   0.367  4815 26614263  424.999  289.169  32.004  162.867  -8.89  -2.07  0000
   48   0.400  4258 26614264  427.741  283.818  32.299  160.100  -8.51  -1.69  0000
   49   0.434  3801 26614265  440.322  267.797  34.818  151.931  -8.61  -1.79  0000
   50   0.467  4094 26614266  446.429  261.584  36.314  149.048  -8.70  -1.88  0000
   51   0.501  3150 26614267  454.585  251.794  38.447  144.964  -8.40  -1.58  0000
