#
#   version : 20090611
#    num_fr : 29
#      time : 20140812 04:23:43.179 UTC
#      unix : 1407817423.179452
#       ntp : LOCK 803 1423739 336
#       seq : 26811927
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal_20100816_20100506-404-gd3
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   30  -0.601  4944 26811909  201.369  319.186  34.982  -67.615  -7.94  -1.12  0000
   31  -0.567  5201 26811910  205.594  315.259  33.426  -67.124  -8.51  -1.69  0000
   32  -0.534  5449 26811911  208.186  311.541  32.297  -66.279  -8.56  -1.74  0000
   33  -0.501  8460 26811912  211.275  305.711  30.787  -64.600  -8.82  -2.00  0000
   34  -0.467  5857 26811913  214.333  301.432  29.505  -63.448  -8.79  -1.97  0000
   35  -0.434  6247 26811914  217.438  294.243  27.898  -60.808  -8.86  -2.04  0000
   36  -0.400  7719 26811915  220.428  287.773  26.464  -58.209  -8.92  -2.10  0000
   37  -0.367  8777 26811916  224.173  281.123  24.884  -55.373  -8.96  -2.14  0000
   38  -0.334  8546 26811917  227.457  274.718  23.518  -52.235  -9.18  -2.36  0000
   39  -0.300  8922 26811918  231.076  265.620  22.004  -47.000  -9.31  -2.49  0000
   40  -0.267  8220 26811919  237.564  257.632  19.958  -42.058  -9.44  -2.62  0000
   41  -0.234  8641 26811920  244.350  250.379  18.020  -36.662  -9.65  -2.83  0000
   42  -0.200  8913 26811921  251.862  239.249  16.234  -26.456  -9.58  -2.76  0000
   43  -0.167  7384 26811922  260.812  227.229  14.816  -12.864  -9.36  -2.54  0000
   44  -0.133  9663 26811923  265.092  218.351  14.908   -2.951  -9.96  -3.14  0000
   45  -0.100 11129 26811924  273.148  202.555  16.048   13.718 -10.08  -3.26  0000
   46  -0.067 11292 26811925  282.160  187.824  17.969   27.559 -10.15  -3.33  0000
   47  -0.033 10242 26811926  293.263  172.188  20.816   39.903 -10.18  -3.36  0000
   48   0.000 12246 26811927  305.840  155.568  24.636   49.941 -10.26  -3.44  0000
   49   0.033  9777 26811928  318.626  139.499  28.896   57.274 -10.11  -3.29  0000
   50   0.067 10138 26811929  330.216  123.204  33.559   62.113  -9.60  -2.78  0000
   51   0.100 10159 26811930  338.309  109.749  37.509   64.596 -10.05  -3.23  0000
   52   0.133 10703 26811931  346.069   93.737  42.214   66.273  -9.84  -3.02  0000
   53   0.167  8781 26811932  353.455   76.204  47.391   67.372  -9.63  -2.81  0000
   54   0.200  9168 26811933  360.025   58.082  52.762   67.971  -9.69  -2.87  0000
   55   0.234 10389 26811934  363.910   45.860  56.399   68.159  -9.76  -2.94  0000
   56   0.267  9378 26811935  370.275   33.295  60.368   68.931  -9.47  -2.65  0000
   57   0.300  7976 26811936  372.604   20.073  64.270   68.594  -9.20  -2.38  0000
   58   0.334  7211 26811937  372.795   15.675  65.537   68.350  -8.77  -1.95  0000
