#
#   version : 20090611
#    num_fr : 43
#      time : 20141115 17:49:27.710 UTC
#      unix : 1416073767.710640
#       ntp : LOCK 1001 820729 1970
#       seq : 230579647
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal_20100816_20100506-404-gd3
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   30  -0.634   730 230579628  109.615  235.930  56.052  -32.892  -6.43   0.39  0000
   31  -0.601   551 230579629  112.766  242.136  55.028  -34.534  -6.47   0.35  0000
   32  -0.567   507 230579630  115.929  232.045  54.276  -31.659  -6.73   0.09  0000
   34  -0.501   644 230579632  121.401  220.196  53.077  -28.114  -5.66   1.16  0000
   35  -0.467   630 230579633  124.337  219.092  52.275  -27.654  -5.90   0.92  0000
   36  -0.434   880 230579634  126.152  216.133  51.890  -26.706  -5.15   1.67  0000
   37  -0.400   337 230579635  133.074  213.504  50.042  -25.519  -5.86   0.96  0000
   38  -0.367  1407 230579636  134.188  210.023  49.925  -24.411  -2.96   3.86  0000
   39  -0.334   852 230579637  137.607  208.722  49.037  -23.773    nan    nan  0000
   40  -0.300   126 230579638  139.437  212.397  48.298  -24.756  -4.16   2.66  0000
   41  -0.267    28 230579639  168.500  205.071  40.750  -19.708  24.49  31.31  0000
   42  -0.234     0 230579640   -0.000   -0.000 123.509   -0.801  -5.46   1.36  0000
   43  -0.200     0 230579641   -0.000   -0.000 123.509   -0.801  -6.56   0.26  0000
   44  -0.167     0 230579642   -0.000   -0.000 123.509   -0.801  -4.94   1.88  0000
   45  -0.133     0 230579643   -0.000   -0.000 123.509   -0.801  -6.21   0.61  0000
   46  -0.100     0 230579644   -0.000   -0.000 123.509   -0.801  -6.19   0.63  0000
   47  -0.067     0 230579645   -0.000   -0.000 123.509   -0.801  -5.99   0.83  0000
   48  -0.033   565 230579646  177.000  189.000  40.024  -12.929  -2.40   4.42  0000
   49   0.000  2932 230579647  178.994  188.010  39.620  -12.264    nan    nan  0000
   50   0.033  2710 230579648  187.096  187.192  37.653  -10.560    nan    nan  0000
   51   0.067  2331 230579649  191.088  184.033  37.045   -8.664    nan    nan  0000
   52   0.100     0 230579650   -0.000   -0.000 123.509   -0.801  -6.27   0.55  0000
   53   0.133     0 230579651   -0.000   -0.000 123.509   -0.801  -6.10   0.72  0000
   54   0.167     0 230579652   -0.000   -0.000 123.509   -0.801  -5.71   1.11  0000
   55   0.200     0 230579653   -0.000   -0.000 123.509   -0.801  -6.76   0.06  0000
   56   0.234     0 230579654   -0.000   -0.000 123.509   -0.801  -5.23   1.59  0000
   57   0.267     0 230579655   -0.000   -0.000 123.509   -0.801  -6.43   0.39  0000
   58   0.300     0 230579656   -0.000   -0.000 123.509   -0.801  -5.76   1.06  0000
   59   0.334     0 230579657   -0.000   -0.000 123.509   -0.801  -5.64   1.18  0000
   61   0.400     0 230579659   -0.000   -0.000 123.509   -0.801  -6.25   0.57  0000
   62   0.434     0 230579660   -0.000   -0.000 123.509   -0.801  -4.73   2.09  0000
   63   0.467     0 230579661   -0.000   -0.000 123.509   -0.801  -5.89   0.93  0000
   64   0.500     0 230579662   -0.000   -0.000 123.509   -0.801  -5.86   0.96  0000
   65   0.534     0 230579663   -0.000   -0.000 123.509   -0.801  -5.76   1.06  0000
   66   0.567     0 230579664   -0.000   -0.000 123.509   -0.801  -5.19   1.63  0000
   69   0.667     0 230579667   -0.000   -0.000 123.509   -0.801  -6.03   0.79  0000
   70   0.701     0 230579668   -0.000   -0.000 123.509   -0.801  -5.97   0.85  0000
   74   0.834     0 230579672   -0.000   -0.000 123.509   -0.801  -4.90   1.92  0000
   77   0.934     0 230579675   -0.000   -0.000 123.509   -0.801  -5.97   0.85  0000
   78   0.968     0 230579676   -0.000   -0.000 123.509   -0.801  -5.45   1.37  0000
   79   1.001     0 230579677   -0.000   -0.000 123.509   -0.801  -6.57   0.25  0000
   80   1.034     0 230579678   -0.000   -0.000 123.509   -0.801  -5.04   1.78  0000
   81   1.068     0 230579679   -0.000   -0.000 123.509   -0.801  -6.27   0.55  0000
