#
#   version : 20090611
#    num_fr : 10
#      time : 20100814 08:36:06.419 UTC
#      unix : 1281774966.419929
#       ntp : LOCK 3541 123978 213
#       seq : 931891
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal 20090611
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   30  -0.234  1373  931884  211.063  224.551  26.840  -26.301  -6.17  -6.17  0000
   31  -0.200  1558  931885  209.477  226.746  27.205  -27.580  -6.76  -6.76  0000
   32  -0.167  1935  931886  208.713  228.348  27.375  -28.477  -7.34  -7.34  0000
   33  -0.133  2190  931887  207.774  230.466  27.590  -29.646  -7.55  -7.55  0000
   34  -0.100  2460  931888  206.433  232.832  27.924  -30.932  -7.78  -7.78  0000
   35  -0.067  2658  931889  205.448  234.572  28.178  -31.858  -7.93  -7.93  0000
   36  -0.033  3037  931890  204.458  237.087  28.441  -33.172  -8.08  -8.08  0000
   37   0.000  3252  931891  203.300  239.131  28.761  -34.215  -8.23  -8.23  0000
   38   0.033  2558  931892  201.802  241.855  29.191  -35.569  -7.68  -7.68  0000
   39   0.067  1175  931893  200.220  244.080  29.652  -36.631  -6.30  -6.30  0000
