#
#   version : 20090611
#    num_fr : 12
#      time : 20100716 09:09:14.618 UTC
#      unix : 1279271354.618928
#       ntp : LOCK 14988 281883 864
#       seq : 650837
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal 20090611
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   30  -0.200  2939  650831  340.826  465.722  61.301 -131.351  -7.33  -7.33  0000
   31  -0.167  4344  650832  342.007  467.123  61.741 -131.613  -8.27  -8.27  0000
   32  -0.133  6009  650833  343.486  468.297  62.132 -131.956  -8.92  -8.92  0000
   33  -0.100  6498  650834  345.401  469.562  62.570 -132.403  -9.05  -9.05  0000
   34  -0.067  8111  650835  346.780  470.730  62.961 -132.712  -9.49  -9.49  0000
   35  -0.033  8712  650836  348.548  472.252  63.472 -133.103  -9.63  -9.63  0000
   36   0.000 10221  650837  350.355  473.745  63.981 -133.500  -9.79  -9.79  0000
   37   0.033  9269  650838  352.311  474.795  64.376 -133.943  -9.65  -9.65  0000
   38   0.067  8411  650839  353.709  475.454  64.636 -134.262  -9.68  -9.68  0000
   39   0.100  7153  650840  355.937  476.731  65.118 -134.755  -9.35  -9.35  0000
   40   0.133  3747  650841  357.520  477.309  65.372 -135.115  -8.29  -8.29  0000
   41   0.167  1186  650842  359.772  477.314  65.507 -135.659  -5.99  -5.99  0000
