#
#   version : 20090611
#    num_fr : 17
#      time : 20120811 06:16:12.993 UTC
#      unix : 1344665772.993230
#       ntp : LOCK -323 519779 480
#       seq : 315858
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal_20100816_20100506-404-gd3
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   29  -0.501  2102  315843  139.949   86.745  65.354    5.598  -5.87   0.95  0000
   30  -0.467  2350  315844  139.973   87.131  65.271    5.536  -6.07   0.75  0000
   32  -0.400  2548  315846  136.455   88.114  65.876    4.775  -6.34   0.48  0000
   33  -0.367  2381  315847  135.249   88.603  66.057    4.491  -6.86  -0.04  0000
   34  -0.334  2528  315848  134.366   89.857  66.014    4.128  -6.81   0.01  0000
   35  -0.300  2864  315849  133.570   89.782  66.214    4.011  -6.96  -0.14  0000
   36  -0.267  3196  315850  132.128   90.477  66.414    3.656  -7.51  -0.69  0000
   37  -0.234  3526  315851  130.942   91.878  66.421    3.220  -7.61  -0.79  0000
   38  -0.200  3678  315852  130.007   92.557  66.512    2.952  -7.87  -1.05  0000
   39  -0.167  3573  315853  127.819   93.039  66.939    2.521  -7.90  -1.08  0000
   40  -0.133  3947  315854  127.374   93.487  66.960    2.372  -7.82  -1.00  0000
   41  -0.100  3579  315855  125.309   94.595  67.246    1.856  -7.96  -1.14  0000
   42  -0.067  3801  315856  124.711   95.062  67.303    1.681  -7.92  -1.10  0000
   43  -0.033  3998  315857  123.464   95.924  67.444    1.338  -8.09  -1.27  0000
   44   0.000  4005  315858  121.522   96.251  67.857    0.986  -8.17  -1.35  0000
   45   0.033  3178  315859  120.956   97.447  67.775    0.688  -7.36  -0.54  0000
   46   0.067  3132  315860  119.361   98.645  67.949    0.237  -6.90  -0.08  0000
