#
#   version : 20090611
#    num_fr : 20
#      time : 20120811 09:44:35.387 UTC
#      unix : 1344678275.387344
#       ntp : LOCK -821 115309 418
#       seq : 690552
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal_20100816_20100506-404-gd3
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   30  -0.434  3128  690539   55.339  275.265  72.964  -42.317  -6.40   0.42  0000
   31  -0.400  3242  690540   55.358  276.738  73.003  -42.630  -7.08  -0.26  0000
   32  -0.367  3147  690541   55.055  276.976  73.107  -42.674  -7.69  -0.87  0000
   33  -0.334  4345  690542   53.283  278.723  73.729  -43.009  -8.01  -1.19  0000
   34  -0.300  4808  690543   52.844  279.043  73.880  -43.067  -8.35  -1.53  0000
   35  -0.267  4992  690544   51.397  280.561  74.395  -43.355  -8.31  -1.49  0000
   36  -0.234  6153  690545   50.798  281.034  74.604  -43.441  -8.75  -1.93  0000
   37  -0.200  5699  690546   48.632  282.445  75.350  -43.686  -8.57  -1.75  0000
   38  -0.167  5051  690547   48.064  282.673  75.541  -43.721  -8.71  -1.89  0000
   39  -0.133  5787  690548   46.691  284.477  76.053  -44.059  -8.54  -1.72  0000
   40  -0.100  6162  690549   45.861  285.472  76.361  -44.243  -8.85  -2.03  0000
   41  -0.067  7188  690550   44.612  286.488  76.806  -44.419  -8.86  -2.04  0000
   42  -0.033 10625  690551   42.203  287.330  77.622  -44.531  -9.76  -2.94  0000
   43   0.000 13627  690552   38.362  288.532  78.924  -44.678 -10.50  -3.68  0000
   44   0.033 11247  690553   38.546  288.881  78.879  -44.751 -10.19  -3.37  0000
   45   0.067  9390  690554   40.378  290.320  78.347  -45.081  -9.70  -2.88  0000
   46   0.100  6995  690555   39.411  291.803  78.732  -45.348  -9.36  -2.54  0000
   47   0.133  7870  690556   38.498  292.518  79.063  -45.465  -9.09  -2.27  0000
   48   0.167  8207  690557   36.296  293.414  79.826  -45.581  -9.35  -2.53  0000
   49   0.200  2357  690558   37.407  294.059  79.495  -45.737  -7.13  -0.31  0000
