#
#   version : 20090611
#    num_fr : 9
#      time : 20130827 04:43:12.549 UTC
#      unix : 1377578592.549899
#       ntp : LOCK 1351 883594 1598
#       seq : 152942
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal_20100816_20100506-404-gd3
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   30  -0.200  1926  152936  302.971   74.159  46.642   50.421  -5.85   0.97  0000
   31  -0.167  1902  152937  303.008   75.116  46.377   50.421  -6.08   0.74  0000
   32  -0.133  2027  152938  302.851   75.242  46.344   50.366  -6.27   0.55  0000
   33  -0.100  2530  152939  304.632   76.418  45.993   50.958  -6.64   0.18  0000
   34  -0.067  2581  152940  304.202   78.026  45.554   50.792  -6.68   0.14  0000
   35  -0.033  2382  152941  304.775   78.651  45.374   50.983  -6.89  -0.07  0000
   36   0.000  2948  152942  304.899   79.219  45.216   51.020  -7.17  -0.35  0000
   37   0.033  2309  152943  306.510   80.716  44.784   51.569  -6.59   0.23  0000
   38   0.067  2292  152944  306.934   80.935  44.719   51.716  -6.39   0.43  0000
