#
#   version : 20090611
#    num_fr : 50
#      time : 20131207 01:56:23.929 UTC
#      unix : 1386381383.929053
#       ntp : LOCK 1817 576332 6530
#       seq : 263966446
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal_20100816_20100506-404-gd3
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   29  -0.801  2028 263966422  187.077  344.106  42.118  -72.495  -6.15   0.67  0000
   31  -0.734  1614 263966424  187.667  346.879  42.441  -73.413  -4.80   2.02  0000
   35  -0.601  2106 263966428  189.886  350.967  42.637  -75.045  -6.56   0.26  0000
   36  -0.567  2261 263966429  191.478  352.157  42.492  -75.735  -6.43   0.39  0000
   37  -0.534  2310 263966430  191.071  352.950  42.721  -75.857  -6.65   0.17  0000
   38  -0.501  2032 263966431  193.614  354.241  42.396  -76.799  -6.23   0.59  0000
   39  -0.467  2426 263966432  194.593  355.158  42.351  -77.278  -6.74   0.08  0000
   40  -0.434  2361 263966433  194.550  356.102  42.531  -77.518  -6.69   0.13  0000
   41  -0.400  2708 263966434  195.683  357.227  42.496  -78.088  -6.96  -0.14  0000
   42  -0.367  2457 263966435  195.779  358.461  42.704  -78.434  -6.95  -0.13  0000
   43  -0.334  2828 263966436  197.005  359.921  42.719  -79.111  -7.08  -0.26  0000
   44  -0.300  2806 263966437  197.914  361.216  42.775  -79.667  -7.23  -0.41  0000
   45  -0.267  2841 263966438  197.943  361.863  42.892  -79.838  -7.23  -0.41  0000
   46  -0.234  2513 263966439  199.983  363.179  42.726  -80.682  -7.22  -0.40  0000
   47  -0.200  2922 263966440  200.516  364.645  42.903  -81.182  -7.45  -0.63  0000
   48  -0.167  3190 263966441  201.227  365.652  42.958  -81.611  -7.65  -0.83  0000
   49  -0.133  3378 263966442  202.102  367.027  43.056  -82.170  -7.59  -0.77  0000
   50  -0.100  3219 263966443  203.146  368.520  43.148  -82.799  -7.53  -0.71  0000
   51  -0.067  4175 263966444  203.783  369.296  43.180  -83.150  -8.16  -1.34  0000
   52  -0.033  3880 263966445  205.149  370.826  43.227  -83.868  -8.21  -1.39  0000
   53   0.000  4314 263966446  205.691  372.001  43.364  -84.285  -8.16  -1.34  0000
   54   0.033  4157 263966447  207.034  372.527  43.218  -84.764  -8.25  -1.43  0000
   55   0.067  3934 263966448  207.456  374.151  43.477  -85.246  -8.12  -1.30  0000
   56   0.100  3878 263966449  209.073  375.382  43.435  -85.959  -8.30  -1.48  0000
   57   0.133  3990 263966450  209.608  376.247  43.520  -86.296  -8.10  -1.28  0000
   58   0.167  4138 263966451  210.884  377.904  43.642  -87.007  -8.24  -1.42  0000
   59   0.200  4043 263966452  211.490  379.093  43.789  -87.430  -8.11  -1.29  0000
   60   0.234  3819 263966453  212.649  380.699  43.932  -88.090  -8.02  -1.20  0000
   61   0.267  3763 263966454  212.863  382.011  44.181  -88.422  -7.87  -1.05  0000
   62   0.300  3406 263966455  214.974  382.828  43.995  -89.180  -7.74  -0.92  0000
   63   0.334  3497 263966456  215.452  384.637  44.315  -89.680  -7.56  -0.74  0000
   64   0.367  3224 263966457  217.488  385.356  44.133  -90.399  -7.65  -0.83  0000
   65   0.400  3485 263966458  217.436  386.246  44.342  -90.559  -7.71  -0.89  0000
   66   0.434  3128 263966459  219.000  387.752  44.425  -91.297  -7.60  -0.78  0000
   67   0.467  3219 263966460  219.701  388.711  44.530  -91.681  -7.53  -0.71  0000
   68   0.501  3307 263966461  221.084  390.453  44.708  -92.405  -7.86  -1.04  0000
   69   0.534  3748 263966462  221.493  391.387  44.860  -92.694  -8.00  -1.18  0000
   70   0.567  3391 263966463  223.218  392.951  44.954  -93.476  -8.00  -1.18  0000
   71   0.601  3466 263966464  224.680  394.445  45.081  -94.166  -7.77  -0.95  0000
   72   0.634  4163 263966465  225.045  395.359  45.242  -94.431  -8.34  -1.52  0000
   73   0.667  3328 263966466  227.206  396.816  45.267  -95.313  -7.91  -1.09  0000
   74   0.701  3595 263966467  227.570  397.859  45.463  -95.594  -7.90  -1.08  0000
   75   0.734  3267 263966468  228.057  398.700  45.594  -95.875  -7.70  -0.88  0000
   76   0.767  2755 263966469  229.386  400.587  45.860  -96.571  -7.29  -0.47  0000
   77   0.801  2751 263966470  231.812  401.175  45.664  -97.383  -7.04  -0.22  0000
   78   0.834  2292 263966471  231.467  403.096  46.181  -97.578  -6.63   0.19  0000
   79   0.868  3211 263966472  233.829  404.101  46.108  -98.431  -7.68  -0.86  0000
   80   0.901  2864 263966473  234.269  404.635  46.182  -98.641  -7.26  -0.44  0000
   81   0.934  2646 263966474  235.807  406.243  46.379  -99.335  -7.13  -0.31  0000
   82   0.968  2144 263966475  237.719  407.009  46.326 -100.017  -6.07   0.75  0000
