#
#   version : 20090611
#    num_fr : 31
#      time : 20121003 07:15:40.484 UTC
#      unix : 1349248540.484324
#       ntp : LOCK -857 146610 725
#       seq : 101600514
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal_20100816_20100506-404-gd3
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   30  -0.534  2168 101600498  360.624  302.219  18.733 -169.791  -4.88   1.94  0000
   32  -0.467  3432 101600500  361.124  300.857  18.573 -170.842  -6.31   0.51  0000
   33  -0.434  3652 101600501  360.732  299.331  18.217 -171.493  -6.41   0.41  0000
   34  -0.400  4156 101600502  361.094  298.905  18.209 -171.952  -6.75   0.07  0000
   35  -0.367  3295 101600503  361.696  298.112  18.183 -172.767  -6.64   0.18  0000
   36  -0.334  3511 101600504  362.017  297.799  18.191 -173.136  -7.28  -0.46  0000
   37  -0.300  3154 101600505  362.592  296.642  18.101 -174.161  -7.58  -0.76  0000
   38  -0.267  4245 101600506  361.411  295.264  17.626 -174.354  -7.69  -0.87  0000
   39  -0.234  5251 101600507  361.769  294.769  17.613 -174.870  -7.72  -0.90  0000
   40  -0.200  5092 101600508  363.612  294.007  17.860 -176.373  -7.74  -0.92  0000
   41  -0.167  5485 101600509  362.696  292.401  17.405 -176.925  -7.93  -1.11  0000
   42  -0.133  5212 101600510  362.621  291.905  17.308 -177.215  -8.12  -1.30  0000
   43  -0.100  4607 101600511  363.601  290.966  17.363 -178.375  -8.16  -1.34  0000
   44  -0.067  5737 101600512  364.222  289.887  17.327 -179.439  -8.23  -1.41  0000
   45  -0.033  5176 101600513  364.232  288.331  17.090  179.468  -8.46  -1.64  0000
   46   0.000  5887 101600514  364.441  287.458  17.006  178.739  -8.36  -1.54  0000
   47   0.033  5844 101600515  365.236  286.365  17.022  177.554  -8.44  -1.62  0000
   48   0.067  4907 101600516  365.650  285.976  17.059  177.069  -8.32  -1.50  0000
   49   0.100  4938 101600517  366.225  284.773  17.021  175.911  -8.49  -1.67  0000
   50   0.133  5489 101600518  366.922  283.926  17.065  174.960  -8.38  -1.56  0000
   51   0.167  5843 101600519  367.106  282.377  16.904  173.708  -8.46  -1.64  0000
   52   0.200  4045 101600520  367.314  282.016  16.907  173.341  -8.26  -1.44  0000
   53   0.234  5647 101600521  367.940  280.704  16.890  172.063  -8.38  -1.56  0000
   54   0.267  4648 101600522  368.556  279.750  16.921  171.066  -8.27  -1.45  0000
   55   0.300  4339 101600523  367.651  278.378  16.545  170.344  -8.12  -1.30  0000
   56   0.334  4485 101600524  368.065  277.085  16.499  169.134  -7.77  -0.95  0000
   57   0.367  3821 101600525  368.210  275.550  16.369  167.819  -7.43  -0.61  0000
   58   0.400  3782 101600526  368.410  274.848  16.345  167.162  -7.12  -0.30  0000
   59   0.434  2363 101600527  369.202  274.388  16.494  166.498  -7.13  -0.31  0000
   60   0.467  3223 101600528  370.605  272.213  16.638  164.221  -6.93  -0.11  0000
   61   0.501  3778 101600529  370.958  272.092  16.716  164.011  -6.73   0.09  0000
