#
#   version : 20090611
#    num_fr : 25
#      time : 20130809 02:58:23.233 UTC
#      unix : 1376017103.233119
#       ntp : LOCK -1782 746530 1205
#       seq : 58168598
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal_20100816_20100506-404-gd3
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   29  -0.767  2400 58168575  460.962  318.720  44.239  168.596  -6.56   0.26  0000
   30  -0.734  2467 58168576  461.198  322.335  44.715  169.687  -6.52   0.30  0000
   31  -0.701  2210 58168577  460.971  324.435  44.907  170.364  -6.59   0.23  0000
   33  -0.634  2709 58168579  460.901  330.240  45.611  172.121  -6.65   0.17  0000
   34  -0.601  2459 58168580  459.574  334.300  45.813  173.524  -6.41   0.41  0000
   35  -0.567  2594 58168581  460.715  336.466  46.388  173.966  -6.91  -0.09  0000
   36  -0.534  2550 58168582  458.811  340.478  46.481  175.421  -6.93  -0.11  0000
   37  -0.501  2902 58168583  458.527  343.156  46.798  176.219  -6.96  -0.14  0000
   38  -0.467  2841 58168584  458.684  346.126  47.273  177.010  -7.20  -0.38  0000
   39  -0.434  3088 58168585  457.516  348.686  47.382  177.910  -7.22  -0.40  0000
   40  -0.400  3060 58168586  458.385  352.448  48.170  178.758  -7.42  -0.60  0000
   41  -0.367  3244 58168587  457.284  354.436  48.225  179.477  -7.48  -0.66  0000
   42  -0.334  3522 58168588  457.579  358.505  48.952 -179.530  -7.44  -0.62  0000
   43  -0.300  3743 58168589  457.077  360.467  49.160 -178.942  -7.69  -0.87  0000
   44  -0.267  3644 58168590  456.285  363.878  49.553 -177.945  -7.60  -0.78  0000
   45  -0.234  3738 58168591  455.607  366.777  49.899 -177.110  -7.66  -0.84  0000
   46  -0.200  3844 58168592  455.218  370.417  50.451 -176.165  -7.80  -0.98  0000
   47  -0.167  3195 58168593  455.036  372.742  50.827 -175.584  -7.82  -1.00  0000
   48  -0.133  3800 58168594  454.081  374.581  50.950 -174.972  -7.72  -0.90  0000
   49  -0.100  4179 58168595  453.905  377.926  51.527 -174.176  -7.88  -1.06  0000
   50  -0.067  3854 58168596  453.369  380.943  51.977 -173.397  -7.99  -1.17  0000
   51  -0.033  4330 58168597  452.274  383.126  52.158 -172.700  -8.26  -1.44  0000
   52   0.000  4644 58168598  451.045  386.221  52.497 -171.785  -8.27  -1.45  0000
   53   0.033  3732 58168599  451.487  389.060  53.146 -171.274  -8.23  -1.41  0000
   54   0.067  3588 58168600  451.066  390.909  53.425 -170.805  -7.80  -0.98  0000
