#
#   version : 20090611
#    num_fr : 8
#      time : 20140813 10:09:23.780 UTC
#      unix : 1407924563.780158
#       ntp : LOCK -668 410812 445
#       seq : 30022848
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal_20100816_20100506-404-gd3
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   29  -0.033  2811 30022847  266.192  339.190  26.283  -98.310  -7.19  -0.37  0000
   30   0.000  6063 30022848  266.023  340.411  26.592  -98.539  -7.38  -0.56  0000
   31   0.033  5089 30022849  266.032  344.930  27.662  -99.657  -8.07  -1.25  0000
   32   0.067  3924 30022850  265.549  346.560  28.111  -99.801  -8.31  -1.49  0000
   33   0.100  4586 30022851  265.797  350.806  29.101 -100.870  -8.47  -1.65  0000
   34   0.133  4992 30022852  264.448  354.381  30.125 -100.992  -8.54  -1.72  0000
   35   0.167  5271 30022853  264.616  356.241  30.557 -101.448  -8.35  -1.53  0000
   36   0.200  3996 30022854  264.504  360.025  31.495 -102.135  -8.30  -1.48  0000
