#
#   version : 20090611
#    num_fr : 16
#      time : 20140807 09:49:26.780 UTC
#      unix : 1407404966.780969
#       ntp : LOCK -807 587661 362
#       seq : 14450906
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal_20100816_20100506-404-gd3
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   29  -0.300  2393 14450897  431.446  124.936  46.311   98.408  -6.36   0.46  0000
   30  -0.267  2910 14450898  434.503  125.164  46.877   99.191  -6.42   0.40  0000
   31  -0.234  3881 14450899  435.258  125.001  47.061   99.331  -7.50  -0.68  0000
   32  -0.200  5116 14450900  437.675  124.742  47.601   99.832  -8.21  -1.39  0000
   33  -0.167  6560 14450901  439.427  124.264  48.051  100.122  -8.74  -1.92  0000
   34  -0.133  8563 14450902  440.453  124.011  48.311  100.296  -9.36  -2.54  0000
   35  -0.100  9570 14450903  443.239  123.977  48.894  100.907  -9.58  -2.76  0000
   36  -0.067 12874 14450904  445.074  122.859  49.489  101.053 -10.06  -3.24  0000
   37  -0.033 11868 14450905  448.235  120.862  50.532  101.279 -10.37  -3.55  0000
   38   0.000 13536 14450906  448.389  122.429  50.268  101.665 -10.51  -3.69  0000
   39   0.033  4894 14450907  438.168  107.085  51.238   96.120  -6.60   0.22  0000
   40   0.067 11450 14450908  453.582  123.334  51.212  102.945 -10.44  -3.62  0000
   41   0.100 10656 14450909  454.871  122.191  51.701  102.947 -10.35  -3.53  0000
   42   0.133 12374 14450910  458.397  122.277  52.455  103.664 -10.04  -3.22  0000
   43   0.167  7485 14450911  461.262  122.366  53.072  104.238  -9.01  -2.19  0000
   44   0.200  3983 14450912  464.033  122.335  53.695  104.755  -7.45  -0.63  0000
