#
#   version : 20090611
#    num_fr : 9
#      time : 20121102 11:07:39.644 UTC
#      unix : 1351854459.644044
#       ntp : LOCK -77 940023 1042
#       seq : 179699193
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal_20100816_20100506-404-gd3
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   29  -0.133  2985 179699189  305.015  312.632  16.308 -119.704  -8.45  -1.63  0000
   30  -0.100  4383 179699190  306.705  312.248  16.163 -121.247  -8.95  -2.13  0000
   31  -0.067 10909 179699191  307.323  312.335  16.172 -121.833  -9.23  -2.41  0000
   32  -0.033 10997 179699192  308.673  315.640  17.011 -123.234  -9.30  -2.48  0000
   33   0.000 11805 179699193  310.467  314.369  16.660 -124.819  -9.20  -2.38  0000
   34   0.033  4119 179699194  313.652  316.523  17.224 -127.662  -9.06  -2.24  0000
   35   0.067  4266 179699195  315.784  318.072  17.653 -129.453  -8.92  -2.10  0000
   36   0.100  5050 179699196  318.087  318.734  17.872 -131.374  -8.52  -1.70  0000
   37   0.133  2595 179699197  320.629  319.997  18.274 -133.378    nan    nan  0000
