#
#   version : 20090611
#    num_fr : 22
#      time : 20130220 10:28:30.670 UTC
#      unix : 1361356110.670154
#       ntp : LOCK -96 273158 135
#       seq : 65979498
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal_20100816_20100506-404-gd3
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   30  -0.501  1641 65979483  262.830  321.093  22.673  -90.804  -5.86   0.96  0000
   31  -0.467  1533 65979484  266.292  321.174  22.158  -92.783  -6.18   0.64  0000
   32  -0.434  1921 65979485  269.324  322.347  21.978  -94.976  -6.18   0.64  0000
   33  -0.400  2152 65979486  274.086  322.868  21.456  -98.062  -6.81   0.01  0000
   34  -0.367  2305 65979487  277.445  323.513  21.194 -100.408  -7.00  -0.18  0000
   35  -0.334  2708 65979488  280.967  324.174  20.955 -102.921  -7.64  -0.82  0000
   36  -0.300  2991 65979489  285.026  324.859  20.713 -105.861  -7.74  -0.92  0000
   37  -0.267  3008 65979490  288.219  325.621  20.619 -108.265  -7.84  -1.02  0000
   38  -0.234  3010 65979491  293.207  326.655  20.506 -112.024  -7.80  -0.98  0000
   39  -0.200  3478 65979492  296.922  327.550  20.514 -114.857  -7.93  -1.11  0000
   40  -0.167  3404 65979493  300.606  327.959  20.447 -117.608  -8.10  -1.28  0000
   41  -0.133  3747 65979494  305.885  328.525  20.431 -121.563  -8.18  -1.36  0000
   42  -0.100  3939 65979495  310.262  329.365  20.590 -124.836  -8.26  -1.44  0000
   43  -0.067  3850 65979496  314.125  329.856  20.721 -127.681  -8.42  -1.60  0000
   44  -0.033  3695 65979497  318.029  330.686  20.993 -130.491  -8.32  -1.50  0000
   45   0.000  4111 65979498  321.642  330.782  21.115 -133.083  -8.55  -1.73  0000
   46   0.033  3866 65979499  327.555  331.404  21.527 -137.178  -8.27  -1.45  0000
   47   0.067  3359 65979500  331.323  332.041  21.909 -139.659  -8.06  -1.24  0000
   48   0.100  3319 65979501  336.155  332.899  22.468 -142.701  -7.91  -1.09  0000
   49   0.133  2934 65979502  340.070  333.337  22.902 -145.108  -7.59  -0.77  0000
   50   0.167  2322 65979503  345.969  333.457  23.501 -148.691  -6.96  -0.14  0000
   51   0.200  1890 65979504  349.312  334.113  24.022 -150.483  -6.66   0.16  0000
