#
#   version : 20090611
#    num_fr : 29
#      time : 20120206 12:54:37.746 UTC
#      unix : 1328532877.746192
#       ntp : LOCK -2993 257008 1461
#       seq : 36111277
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal_20100816_20100506-404-gd3
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   29  -0.801  1680 36111253  129.411  393.032  64.087  -73.569  -6.62   0.20  0000
   30  -0.767  1469 36111254  129.491  394.521  64.337  -73.863  -7.24  -0.42  0000
   31  -0.734  1675 36111255  130.399  396.255  64.433  -74.324  -7.36  -0.54  0000
   32  -0.701  1867 36111256  131.473  398.760  64.637  -74.953  -7.67  -0.85  0000
   33  -0.667  1850 36111257  132.408  400.105  64.665  -75.343  -7.67  -0.85  0000
   34  -0.634  1858 36111258  133.387  402.539  64.893  -75.939  -7.98  -1.16  0000
   35  -0.601  2329 36111259  133.734  403.892  65.069  -76.238  -8.20  -1.38  0000
   36  -0.567  2370 36111260  134.689  404.912  65.041  -76.570  -8.26  -1.44  0000
   37  -0.534  2306 36111261  135.712  407.002  65.208  -77.104  -8.31  -1.49  0000
   38  -0.501  2075 36111262  136.624  409.125  65.413  -77.624  -8.31  -1.49  0000
   39  -0.467  2253 36111263  137.765  410.983  65.519  -78.131  -8.22  -1.40  0000
   40  -0.434  1961 36111264  138.775  413.150  65.724  -78.668  -8.22  -1.40  0000
   41  -0.400  2261 36111265  139.800  414.917  65.850  -79.137  -8.09  -1.27  0000
   42  -0.367  1888 36111266  140.911  417.297  66.088  -79.721  -8.15  -1.33  0000
   43  -0.334  2139 36111267  142.277  419.161  66.170  -80.258  -8.31  -1.49  0000
   44  -0.300  2437 36111268  143.435  421.047  66.309  -80.763  -8.38  -1.56  0000
   45  -0.267  2570 36111269  144.605  423.083  66.483  -81.292  -8.38  -1.56  0000
   46  -0.234  2759 36111270  145.692  425.220  66.703  -81.820  -8.50  -1.68  0000
   47  -0.200  2781 36111271  146.695  427.304  66.937  -82.322  -8.58  -1.76  0000
   48  -0.167  2953 36111272  147.920  429.316  67.114  -82.848  -8.61  -1.79  0000
   49  -0.133  3753 36111273  149.016  432.151  67.506  -83.475  -8.63  -1.81  0000
   50  -0.100  5629 36111274  150.183  434.143  67.705  -83.981  -8.73  -1.91  0000
   51  -0.067  7910 36111275  151.086  436.432  68.032  -84.482  -9.44  -2.62  0000
   52  -0.033 12527 36111276  152.222  438.163  68.191  -84.937  -9.40  -2.58  0000
   53   0.000 12779 36111277  153.432  440.262  68.423  -85.457  -9.61  -2.79  0000
   54   0.033 11117 36111278  155.216  442.128  68.493  -86.041  -9.36  -2.54  0000
   55   0.067  5052 36111279  157.141  443.154  68.345  -86.531  -9.18  -2.36  0000
   56   0.100  3702 36111280  158.925  444.974  68.419  -87.108  -8.78  -1.96  0000
   57   0.133  1843 36111281  160.788  447.030  68.541  -87.732  -7.96  -1.14  0000
