#
#   version : 20090611
#    num_fr : 16
#      time : 20130812 10:13:04.989 UTC
#      unix : 1376302384.989485
#       ntp : LOCK -679 486508 1121
#       seq : 66718307
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal_20100816_20100506-404-gd3
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   29  -0.334  4254 66718297  171.370  455.138  68.524  -90.774  -7.42  -0.60  0000
   30  -0.300  3808 66718298  170.506  456.228  68.951  -90.750  -7.96  -1.14  0000
   31  -0.267  7362 66718299  169.962  458.911  69.717  -90.987  -8.26  -1.44  0000
   32  -0.234  6999 66718300  168.382  460.661  70.442  -90.912  -8.76  -1.94  0000
   33  -0.200  5604 66718301  168.254  461.262  70.616  -90.963  -8.52  -1.70  0000
   34  -0.167  5440 66718302  167.733  462.387  70.993  -91.005  -8.89  -2.07  0000
   35  -0.133  8250 66718303  166.911  464.760  71.741  -91.145  -9.18  -2.36  0000
   36  -0.100  9114 66718304  166.739  465.386  71.930  -91.190  -9.21  -2.39  0000
   37  -0.067  8950 66718305  167.117  467.789  72.472  -91.547  -8.96  -2.14  0000
   38  -0.033  6385 66718306  167.140  468.413  72.628  -91.625  -9.17  -2.35  0000
   39   0.000 10332 66718307  166.223  470.917  73.434  -91.754  -9.19  -2.37  0000
   40   0.033  6237 66718308  164.967  473.569  74.344  -91.836  -9.93  -3.11  0000
   41   0.067  7677 66718309  164.929  474.014  74.466  -91.881 -10.00  -3.18  0000
   42   0.100  7795 66718310  165.280  474.134  74.434  -91.957  -9.57  -2.75  0000
   43   0.133  6083 66718311  165.572  474.971  74.598  -92.105  -9.16  -2.34  0000
   44   0.167  4237 66718312  166.053  476.530  74.917  -92.367  -8.74  -1.92  0000
