#
#   version : 20090611
#    num_fr : 19
#      time : 20091027 09:15:52.603 UTC
#      unix : 1256634952.603202
#       ntp : LOCK 2163 592929 1021
#       seq : 9118013
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : 
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   29  -0.467  2228 9117999  165.139  333.074  46.755  -65.347  -7.07  -7.07  0000
   30  -0.434  2997 9118000  163.442  331.487  46.926  -64.607  -7.74  -7.74  0000
   31  -0.400  3817 9118001  161.747  330.287  47.158  -63.978  -8.01  -8.01  0000
   32  -0.367  4239 9118002  159.392  329.238  47.576  -63.282  -8.28  -8.28  0000
   33  -0.334  4802 9118003  156.861  327.647  47.971  -62.421  -8.49  -8.49  0000
   34  -0.300  5341 9118004  154.640  326.219  48.323  -61.667  -8.75  -8.75  0000
   35  -0.267  6140 9118005  152.526  324.743  48.650  -60.927  -8.92  -8.92  0000
   36  -0.234  6004 9118006  149.997  323.348  49.099  -60.155  -8.85  -8.85  0000
   37  -0.200  6505 9118007  147.692  321.551  49.452  -59.320  -8.97  -8.97  0000
   38  -0.167  7290 9118008  145.023  320.256  49.968  -58.581  -9.22  -9.22  0000
   39  -0.133  7267 9118009  142.645  318.437  50.358  -57.754  -9.30  -9.30  0000
   40  -0.100  7670 9118010  140.078  316.609  50.806  -56.911  -9.26  -9.26  0000
   41  -0.067  8875 9118011  137.348  314.513  51.278  -55.988  -9.61  -9.61  0000
   42  -0.033 10668 9118012  134.648  313.172  51.836  -55.288  -9.88  -9.88  0000
   43   0.000 11353 9118013  131.643  311.401  52.439  -54.451 -10.01 -10.01  0000
   44   0.033  8847 9118014  129.651  309.523  52.774  -53.717  -9.61  -9.61  0000
   45   0.067  7973 9118015  127.285  307.604  53.214  -52.941  -9.32  -9.32  0000
   46   0.100  6002 9118016  125.159  305.724  53.604  -52.211  -8.89  -8.89  0000
   47   0.133  1595 9118017  123.347  303.961  53.929  -51.555  -6.53  -6.53  0000
