#
#   version : 20090611
#    num_fr : 15
#      time : 20100720 08:08:27.514 UTC
#      unix : 1279613307.514772
#       ntp : LOCK 5728 125123 3062
#       seq : 10899172
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal 20090611
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   29  -0.200  2460 10899166  319.216   28.526  55.361   59.270  -7.34  -7.34  0000
   30  -0.167  3755 10899167  320.612   27.806  55.584   59.649  -8.18  -8.18  0000
   31  -0.133  5186 10899168  322.264   26.751  55.909   60.092  -8.85  -8.85  0000
   32  -0.100  7233 10899169  323.734   25.677  56.240   60.480  -9.32  -9.32  0000
   33  -0.067  9048 10899170  325.238   24.192  56.693   60.866  -9.48  -9.48  0000
   34  -0.033  9850 10899171  326.869   23.651  56.882   61.297  -9.82  -9.82  0000
   35   0.000 10637 10899172  328.487   22.400  57.278   61.709  -9.86  -9.86  0000
   36   0.033  9096 10899173  329.342   21.662  57.510   61.922  -9.97  -9.97  0000
   37   0.067 10322 10899174  332.192   20.724  57.858   62.658  -9.75  -9.75  0000
   38   0.100  9811 10899175  333.761   19.590  58.230   63.043  -9.75  -9.75  0000
   39   0.133  7248 10899176  335.742   18.642  58.567   63.537  -9.14  -9.14  0000
   40   0.167  9410 10899177  337.573   17.907  58.843   63.992  -9.78  -9.78  0000
   41   0.200  6407 10899178  339.681   16.714  59.264   64.501  -9.05  -9.05  0000
   42   0.234  4932 10899179  341.562   16.057  59.529   64.962  -8.64  -8.64  0000
   43   0.267  1835 10899180  343.433   15.704  59.711   65.428  -6.67  -6.67  0000
