#
#   version : 20090611
#    num_fr : 10
#      time : 20131229 10:16:13.418 UTC
#      unix : 1388312173.418258
#       ntp : LOCK -13895 795057 6653
#       seq : 321830792
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal_20100816_20100506-404-gd3
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   30  -0.234  1679 321830785  358.102  316.600  21.206 -161.440  -6.09   0.73  0000
   31  -0.200  1893 321830786  362.071  314.775  21.467 -164.462  -6.29   0.53  0000
   32  -0.167  1921 321830787  364.236  312.477  21.375 -166.666  -6.25   0.57  0000
   33  -0.133  1846 321830788  369.566  309.514  21.781 -170.807  -6.58   0.24  0000
   34  -0.100  1923 321830789  371.617  307.546  21.818 -172.767  -6.57   0.25  0000
   35  -0.067  2093 321830790  374.874  305.611  22.132 -175.244  -6.68   0.14  0000
   36  -0.033  2759 321830791  379.665  302.862  22.685 -178.701  -7.40  -0.58  0000
   37   0.000  2884 321830792  383.595  300.084  23.120  178.315  -7.30  -0.48  0000
   38   0.033  2665 321830793  386.116  298.090  23.403  176.347  -7.39  -0.57  0000
   39   0.067  2174 321830794  390.599  295.241  24.062  173.349  -6.86  -0.04  0000
