"","name","number","abbrev","peak.date","theo.ra","theo.dec","mean.ra","mean.dec","sdom","n.events","n.radiants","n.bad.events","n.bad.radiants","fishkent.p.value","vmf.mu.x","vmf.mu.y","vmf.mu.z","vmf.kappa","kent.mu.x","kent.mu.y","kent.mu.z","kent.kappa"
"...31","Comae Ber.","020","COM","20101229","185","21",202.62826026159,45.7340046255691,0.725232429240002,3,6,-1,-1,0.525615421914445,-0.644259491579749,-0.268552251274818,0.716107111991377,1560.38167825138,-0.644259491579749,-0.268552251274818,0.716107111991376,1985.88004469736
"...32","﻿Quadrantids","010","QUA","20110104","230","49",227.186413051806,48.719128695328,6.19898267495675,19,190,-1,-1,0.0504423078051198,-0.448376734701002,-0.483972563076046,0.75148443893967,4.2714411182547,-0.448376734701002,-0.483972563076046,0.75148443893967,4.35665180968364
"...33","α-Centaurids","102","ACE","20110208","210","-59",246.427310094451,15.4766823297155,15.4310696548926,5,15,-1,-1,0.574292663518081,-0.385411038035444,-0.883318427990517,0.266846185156924,2.29774564237376,-0.385411038035444,-0.883318427990517,0.266846185156924,2.350969392157
"...34","γ-Normids","118","GNO","20110315","239","-50",184.991597437621,-37.3896586023933,11.5886676391623,2,3,-1,-1,0.182708140076269,-0.791510975927745,-0.0691312734981376,-0.607232444793948,8.14811209403613,-0.791510975927745,-0.0691312734981379,-0.607232444793948,104.852523341155
"...35","Lyrids","006","LYR","20110422","271","34",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...36","π-Puppids","137","PPU","20110424","110","-45",319.910812752108,47.9801176797461,16.0303653404298,2,3,-1,-1,0.122870575897514,0.512110908298865,-0.431072278754274,0.742912584420879,4.25830897224895,0.512110908298865,-0.431072278754274,0.742912584420879,39.123077115739
"...37","η-Aquariids","031","ETA","20110506","338","-1",329.95367052934,56.113109275326,19.3627795085927,6,21,-1,-1,0.684733598057421,0.482631378541235,-0.279167941604632,0.830139875459322,1.25086898604989,0.482631378541235,-0.279167941604632,0.830139875459322,1.26724370925238
"...38","η-Lyrids","145","ELY","20110509","287","44",NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...39","June Bootids","170","JBO","20110627","224","48",NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...40","Piscis Austr.","183","PAU","20110728","341","-30",NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...41","S. δ-Aquariids","005","SDA","20110730","340","-16",33.820695939103,69.5675493686409,15.9814576075354,9,45,-1,-1,0.00105310829721777,0.290028870394122,0.194309153984014,0.93708441829748,1.28532362611178,0.290028870394121,0.194309153984014,0.93708441829748,1.36700513179693
"...42","α-Capricornids","001","CAP","20110730","307","-10",33.820695939103,69.5675493686409,15.9814576075354,9,45,-1,-1,0.00105310829721777,0.290028870394122,0.194309153984014,0.93708441829748,1.28532362611178,0.290028870394121,0.194309153984014,0.93708441829748,1.36700513179693
"...43","Perseids","007","PER","20110813","48","58",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...44","κ-Cygnids","012","KCG","20110818","286","59",26.4801820757999,52.5012720569735,14.4944930529908,6,21,-1,-1,3.51411700781468e-05,0.544879675169261,0.271431707952257,0.793366855562773,2.23224142802564,0.544879675169261,0.271431707952257,0.793366855562773,4.18563399492421
"...45","Aurigids","206","AUR","20110901","93","39",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...46","Sept. ε-Perseids","208","SPE","20110910","48","40",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...47","δ-Aurigids","224","DAU","20111012","84","44",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...48","Draconids","009","DRA","20111008","262","54",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...49","S. Taurids","002","STA","20111010","32","9",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...50","ε-Geminids","023","EGE","20111018","102","27",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...51","Orionids","008","ORI","20111021","95","16",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...52","Leonis Minorids","022","LMI","20111024","161","38",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...53","N. Taurids","017","NTA","20111112","58","22",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...54","Leonids","013","LEO","20111118","152","22",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
