#
#   version : 20090611
#    num_fr : 10
#      time : 20131107 06:04:46.913 UTC
#      unix : 1383804286.913741
#       ntp : LOCK 1118 315522 2233
#       seq : 186732582
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal_20100816_20100506-404-gd3
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   29  -0.234  1702 186732575  211.743  438.767  57.843  -97.270  -6.25   0.57  0000
   30  -0.200  1966 186732576  212.879  440.832  58.207  -97.794  -6.45   0.37  0000
   31  -0.167  2209 186732577  214.434  442.821  58.499  -98.402  -6.92  -0.10  0000
   32  -0.133  2236 186732578  215.277  444.902  58.920  -98.845  -7.03  -0.21  0000
   33  -0.100  2414 186732579  216.985  446.595  59.128  -99.444  -7.26  -0.44  0000
   34  -0.067  2326 186732580  218.462  448.586  59.452 -100.017  -7.37  -0.55  0000
   35  -0.033  2550 186732581  220.760  450.467  59.648 -100.767  -7.24  -0.42  0000
   36   0.000  2805 186732582  221.262  452.188  60.039 -101.068  -7.37  -0.55  0000
   37   0.033  2490 186732583  222.790  454.303  60.409 -101.648  -7.13  -0.31  0000
   38   0.067  2308 186732584  224.223  455.916  60.664 -102.149  -6.78   0.04  0000
