"ra" "dec" "antirad"
"1" 276.81361023145 -64.4820854537394 0
"2" 35.2601177402574 30.1342519875875 -1
"3" 193.794558986565 12.2197672575093 0
"4" 50.1527548795003 47.5307538174331 -1
"5" 196.895298812083 5.74783793845142 0
"6" 175.259063315552 41.4984515120553 0
"7" 345.567716519608 -50.2307612231517 -1
"8" 179.352997502803 36.6006385783976 1
"9" 243.670245207071 -56.212761396092 0
"10" 100.397713859108 64.7513754711655 -1
"11" 333.672044149919 -57.0489997755427 -1
"12" 181.975972617439 33.0105282185608 0
"13" 167.467798943279 48.7891311602891 1
"14" 195.442044817994 8.81295517629304 0
"15" 230.386155909942 -47.7265654308893 0
"16" 238.821469567793 -53.6479633956619 -1
"17" 206.870540910547 -15.2447509806537 -1
"18" 206.896739933293 -15.2966971294572 0
"19" 274.944747462391 -64.3044829796801 0
"20" 127.095332422385 63.9789571192975 1
"21" 237.641261435276 -52.9407464466789 0
"22" 341.762339725261 -52.7918901998651 -1
"23" 43.9653879499054 41.5664108963757 -1
"24" 26.4518545315573 14.410752623726 -1
"25" 265.219034145279 -62.9300810266985 -1
"26" 163.267674199199 51.8276256054592 0
"27" 178.039877870156 38.2619686734776 1
"28" 182.431360115042 32.3491906151721 1
"29" 27.7227531552763 16.9193429081998 -1
"30" 120.018411115106 64.6676399205742 1
"31" 31.6596155368164 24.2020695401027 -1
"32" 92.4474683244566 64.0256960440978 -1
"33" 37.1666583556282 32.9819459734081 -1
"34" 257.225936339426 -61.1399544850646 -1
"35" 208.071144632212 -17.5946320987773 1
"36" 33.7922303632337 27.8032101086517 -1
"37" 34.4035472836621 28.788695972488 -1
"38" 31.3477073080586 23.6543961720129 -1
"39" 236.288392560798 -52.0856805074111 1
"40" 44.994467283276 42.669450823536 -1
"41" 2.72641332979637 -31.9145779781952 -1
"42" 2.38193375933981 -32.4215240048209 -1
"43" 279.821995931345 -64.7143009181813 -1
"44" 199.749888899448 -0.362251008501304 0
"45" 1.42956896312531 -33.7890053215623 -1
"46" 243.735132683938 -56.2436788402309 -1
"47" 193.950552374107 11.9009167575228 0
"48" 181.842137656848 33.2027192317178 0
"49" 160.88311427607 53.3274673114476 1
"50" 138.939187217872 61.8908299501319 1
"51" 215.476101870367 -30.4670359259514 0
"52" 172.905895018098 43.9587006273464 0
"53" 161.569362354658 52.9111435337835 0
"54" 180.673850460557 34.8389250869784 1
"55" 359.710953170984 -36.1323093409426 -1
"56" 247.56229639929 -57.9265007038689 0
"57" 201.695983779154 -4.53189909766491 -1
"58" 105.695195411163 64.9848671172933 -1
"59" 182.508594651371 32.2358904620002 -1
"60" 129.430369192724 63.6663340896275 -1
"61" 281.17044208816 -64.7974812570361 -1
"62" 164.550728747793 50.9560082902619 0
"63" 186.133085986686 26.5440925456344 0
"64" 197.958411758985 3.48102296523974 0
"65" 0.837154351665084 -34.6146609506454 -1
"66" 210.351334053041 -21.8699196265243 0
"67" 203.018325821135 -7.33794111064739 0
"68" 24.9589470367915 11.382064152331 -1
"69" 203.748887206655 -8.87247610252441 0
"70" 105.773603976661 64.9868873512978 1
"71" 276.785623549782 -64.4796170775536 -1
"72" 201.072004371602 -3.19842972371898 1
"73" 177.700659118015 38.6769255735822 0
"74" 195.994046913185 7.65427508631843 0
"75" 241.715017434642 -55.2406889941808 -1
"76" 227.59773205735 -45.2554137779096 0
"77" 139.3116630828 61.8030038582477 1
"78" 194.732456440184 10.2905040085452 0
"79" 235.443712042699 -51.5265541966627 -1
"80" 222.063624183978 -39.3990498614372 -1
"81" 246.799654944405 -57.6123187498553 -1
"82" 231.336054533223 -48.5037627320924 0
"83" 133.952546581897 62.9284100104303 0
"84" 151.395112959724 58.0092809135841 1
"85" 160.383666541434 53.6230063548927 1
"86" 180.661763032873 34.8554676765198 1
"87" 153.153235075464 57.2759268609869 1
"88" 169.218116723006 47.3542732561954 0
"89" 277.660291613638 -64.5540494899713 -1
"90" 324.230033438437 -60.4935634138413 -1
"91" 191.566789015973 16.6716808985441 1
"92" 346.331113831697 -49.6654706614752 -1
"93" 148.393388895204 59.1426930131531 1
"94" 181.839960903885 33.2058369867314 1
"95" 125.465202506813 64.1712564781078 1
"96" 194.831655726468 10.0848169858777 0
"97" 46.6261509576012 44.3234002646557 -1
