"ra" "dec" "antirad"
"1" 208.390557482798 22.5756470954936 0
"2" 274.470089841165 -35.9433018591337 1
"3" 226.840902529172 4.85875052730948 1
"4" 20.1087442937656 -28.9091192354136 -1
"5" 251.835570571475 -20.3236138628519 0
"6" 316.091536572321 -46.6063251856133 1
"7" 235.697226051431 -4.518962435553 -1
"8" 274.261162630354 -35.8366526967087 1
"9" 244.304712070528 -13.3165221970819 -1
"10" 239.931653196921 -8.92484228935811 -1
"11" 285.845399150639 -40.8246444821821 1
"12" 207.486141767011 23.3227984949855 0
"13" 199.723294793908 29.1759259764271 0
"14" 310.381267262235 72.3771587161092 1
"15" 55.465601587375 -61.9301153933051 -1
"16" 26.8828689306952 -18.1914513586221 -1
"17" 20.6769976477697 1.8219835777492 -1
"18" 47.5468035754879 -55.9140352788656 -1
"19" 5.44772453996419 42.1787269605962 0
"20" 356.563439813584 54.2775038320479 1
"21" 351.753629510714 58.6199489809912 0
"22" 17.1272825922936 13.3914839099294 0
"23" 339.578266019908 65.6983620754272 1
"24" 208.871733953414 23.918011577027 1
"25" 222.56933553749 50.4985170290876 1
"26" 194.031879651851 -81.1198493319392 -1
"27" 267.383668995149 -56.4003467799296 0
"28" 276.987085813639 -23.9727370854122 0
"29" 280.971665713402 0.0418255698161453 0
"30" 288.480798158097 39.9748185489301 0
"31" 274.567995590239 -35.53246908125 1
"32" 290.055090946148 45.3590448927684 0
"33" 280.967388955551 0.0144134770999734 0
"34" 260.726381381129 -65.7244352781247 1
"35" 286.256223735007 30.5856705553601 0
"36" 296.532934204907 59.8291587842404 0
"37" 225.064045811681 -15.9281103010466 0
"38" 225.392129310705 -12.2437861120169 0
"39" 53.0042544486753 -53.8110008003486 1
"40" 225.076618073605 -15.7891947444011 -1
"41" 218.507564652783 -58.7350402249367 1
"42" 222.438735877039 -39.7617622600734 -1
"43" 225.48726753933 -11.1543376596419 -1
"44" 29.4496273014285 74.0065911316571 -1
"45" 229.275208287287 30.6357998177879 0
"46" 233.472112370175 55.6595469022732 -1
"47" 222.412540764421 -11.0983032195039 0
"48" 341.298778872448 -57.9624620824269 1
"49" 225.018544652568 -15.8471993429699 -1
"50" 254.37019477746 -49.9516791889798 1
"51" 233.106495159241 -28.8769232829592 -1
"52" 222.63584377847 -11.5133383926291 -1
"53" 272.666555957076 -58.18535588684 1
"54" 204.60201162163 22.0272891432212 -1
"55" 199.823977076406 29.3137911559549 -1
"56" 295.031584853508 -24.0463200082564 1
"57" 227.712601396671 -13.1071584709077 -1
"58" 284.260170245644 -24.2586295258453 1
"59" 241.461107171272 -17.6392705899912 -1
"60" 223.277647499992 -11.4350034045386 -1
"61" 292.796942329301 -24.1527609747741 1
"62" 179.224031380645 7.68524572147822 -1
"63" 185.201857798143 5.10800716517705 -1
"64" 265.643586524661 25.9658182835936 0
"65" 290.001338170426 -16.0662287734452 1
"66" 267.486923265613 23.2522054003987 0
"67" 280.984357770096 0.0184772738509917 0
"68" 293.582727047182 -21.8473506360591 1
"69" 259.541311599363 33.9332178884104 -1
"70" 230.950053174828 54.6574692846985 -1
"71" 341.023791187079 47.5722392976713 1
"72" 275.724183321146 33.2307654723182 0
"73" 50.1956270539224 10.500874832536 0
"74" 318.451855327576 47.5678539315934 1
"75" 274.943286159781 32.7321915160778 1
"76" 326.246960769562 48.0731137557357 1
"77" 6.05922767432327 56.7055525276792 0
"78" 303.068331270779 5.16193263531195 0
"79" 300.383536917996 0.706965755638917 0
"80" 313.185090269416 20.8594312740227 0
"81" 333.358362978008 42.5145888920731 0
"82" 68.0048458805543 7.41204834875122 -1
"83" 327.569647700454 58.076930037662 1
"84" 275.22390418589 32.6921474966762 1
"85" 312.611063122523 55.227469029292 1
"86" 301.568633339935 4.83010931060084 1
"87" 331.66664164558 10.5078880273557 1
"88" 355.443700781468 12.9972203769152 1
"89" 307.350716774762 23.532644875134 0
"90" 321.093419475112 51.2381533630174 0
"91" 10.4330586435627 -14.6048553192808 1
