"ra" "dec" "antirad"
"1" 283.470490512313 20.5733142246332 0
"2" 242.164099009898 7.57126098729806 1
"3" 313.415278442082 23.6506059329558 1
"4" 319.786159768125 23.5647244632327 -1
"5" 12.1983653675715 13.1735720568835 1
"6" 244.376611009801 8.47089657960949 -1
"7" 6.71918844948785 15.021089447763 1
"8" 327.64396560991 23.1003241086666 1
"9" 269.662294866184 17.2552149808209 1
"10" 303.604309415568 23.2737497521454 1
"11" 288.356827077296 21.4653383689658 0
"12" 329.884855581673 22.8953891875594 -1
"13" 72.6125891946222 17.3011051931732 -1
"14" 303.556779879771 37.8409717437919 1
"15" 303.347299208797 37.7057890207922 0
"16" 325.416568337837 47.8559431155064 1
"17" 298.44964795146 34.2910359870023 1
"18" 320.624460319392 46.2699427776974 1
"19" 327.644590230239 48.4963217741313 1
"20" 269.895710053905 4.28178034017438 1
"21" 296.826345103586 33.0475887122172 1
"22" 285.359215839484 22.5804674105163 0
"23" 299.280909107558 34.9058102102572 0
"24" 201.144665500634 59.5435553575081 0
"25" 217.627796385655 48.5803368105692 1
"26" 230.55421732637 31.8366073856125 0
"27" 242.388433196947 7.03303809899774 -1
"28" 230.360879798153 32.1648412818284 -1
"29" 147.64143835748 67.5508589651904 0
"30" 271.019800962133 -46.6778249766073 1
"31" 199.913941197112 60.0830918159098 0
"32" 231.397887827251 30.3732504316145 1
"33" 231.378176668944 30.4080175903222 1
"34" 304.089647680679 37.1987643329322 1
"35" 286.278623880107 52.6379006083967 0
"36" 305.412323397955 35.5457661530328 0
"37" 289.348869032128 50.7150791044326 0
"38" 327.643523693927 -4.07570443155513 1
"39" 268.247521645887 60.102165705778 1
"40" 210.375515329218 61.8158247954416 1
"41" 143.953426164909 -3.52814535125219 -1
"42" 307.611257262808 32.6059586195339 1
"43" 271.237998573362 50.8480477472298 1
"44" 306.237571003059 35.6658321166235 1
"45" 275.553770732733 49.8847426685602 1
"46" 327.643818380668 14.6115643876467 -1
"47" 268.733030726602 51.3184450279254 0
"48" 280.979849827848 48.3770732951061 0
"49" 166.130552781478 9.39106137775682 1
"50" 311.866552633308 31.1615154907811 0
"51" 352.935982138797 32.9684183431657 0
"52" 236.229908202004 36.2327960122575 1
"53" 327.644542424605 47.1044925478296 1
"54" 268.775029160449 50.3493942819784 1
"55" 275.845291135545 51.6182223419183 1
"56" 228.608077627777 30.1607627515206 0
"57" 226.837119786615 28.5587379181737 0
"58" 344.720574748206 34.819999131758 1
"59" 327.644249744632 36.7452832970332 1
"60" 269.527390349017 24.0776061111454 1
"61" 296.235208380876 33.7995082612803 1
"62" 273.903421392127 26.1709195301972 0
"63" 300.285727416731 34.6643731132535 0
"64" 327.644439234372 43.8326036451839 1
"65" 268.836520458358 48.85560805298 1
"66" 278.255128926103 50.1795199505264 1
"67" 227.678710628507 30.0766223867622 -1
"68" 224.768084855627 27.6421124241298 -1
"69" 327.600199019075 -88.8278582792009 -1
"70" 327.643250942929 -20.7314452109258 0
"71" 147.643607894275 -1.35153054347308 -1
"72" 327.643984366652 24.1166982332544 1
"73" 268.544135877288 55.2175385500312 0
"74" 269.45930150937 27.2763991720898 1
"75" 269.19823002152 37.9282446817006 1
"76" 130.608074946019 -11.0914414336492 -1
"77" 294.492394871443 35.9252906946516 1
"78" 231.264614818756 30.3644648667302 0
