"ra" "dec" "antirad"
"1" 100.736498969199 17.6870127950906 0
"2" 73.6850542260404 49.0307858668305 -1
"3" 116.329833233397 -11.6212345879942 1
"4" 131.062510999695 -34.5275971767926 -1
"5" 91.3214571577163 32.0741366766713 -1
"6" 117.754059835459 -14.2191642039168 1
"7" 76.7301335709649 46.8683613273927 1
"8" 149.630304578165 -50.8383287406908 1
"9" 70.9316855603181 50.7728753142722 -1
"10" 39.1451710462889 61.3417682174576 1
"11" 172.249347330878 -59.654161163824 -1
"12" 111.764561105045 -2.97244464278862 0
"13" 96.7108236664651 24.3245358963994 0
"14" 124.498048221772 -25.4928415715084 0
"15" 128.274328638702 -30.9318449722472 1
"16" 97.5923506792892 22.9306020974186 1
"17" 100.020082636992 18.9175743100189 0
"18" 82.8611045383478 41.6392835138057 1
"19" 35.0475493461239 61.861866117944 -1
"20" 120.914079221455 -19.7335435026558 1
"21" 87.0502573144702 37.2788526666181 1
"22" 104.315050813583 11.2655788032629 1
"23" 6.65474320034938 61.9931591333259 0
"24" 85.5043404682304 38.9695846353562 1
"25" 97.7190108714733 22.7274837485049 1
"26" 116.249834411413 -11.4735330302255 0
"27" 97.3450583440144 23.3251303465674 0
"28" 140.337813127442 -44.138070754365 1
"29" 92.7394080306328 30.1650482887818 1
"30" 138.925873924146 -42.886990081372 1
"31" 92.9723901458637 29.8425140431725 0
"32" 107.888616741323 4.51074986133314 1
"33" 87.0290981597732 37.3026637455503 0
"34" 97.9718027290066 22.3199892178997 0
"35" 121.266473875256 -20.3243971610027 1
"36" 16.4393676730688 62.609374706112 -1
"37" 97.2316467256666 23.5051593808841 1
"38" 100.736904316628 17.6863108799992 1
"39" 108.664059031919 3.01832313987488 1
"40" 338.96371613608 55.4800458947373 1
"41" 97.6560550344196 22.828531035676 1
"42" 107.118090938965 5.98685856520885 1
"43" 150.67693391338 -51.4493025190628 -1
"44" 79.9555055039094 44.2747432645585 1
"45" 103.712947314556 12.3747010272122 1
"46" 37.6246158940883 61.5511646432863 -1
"47" 343.92569346356 57.3192071496952 1
"48" 126.440810358954 -28.3732864200359 -1
"49" 91.8326642595087 31.3965012801904 0
"50" 339.453171077295 55.6785682969975 1
"51" 215.298572882597 26.4719696230356 1
"52" 125.467516789952 30.0997534951593 1
"53" 201.529341433593 31.8518897415205 0
"54" 291.390966496136 -23.8246707155827 -1
"55" 191.673007780803 34.5262008120568 1
"56" 161.940422478014 37.2761511614886 0
"57" 148.715392099655 36.0728900648776 1
"58" 230.719593582013 18.071075162731 1
"59" 261.422562791691 -4.09839225171611 -1
"60" 252.073866232187 3.01720406822318 0
"61" 270.918841653939 -11.0900091359911 -1
"62" 109.867025163211 23.0186806480612 1
"63" 247.194430242289 6.68854807068086 0
"64" 133.253097977109 32.6825064416978 1
"65" 119.329154842015 27.6223907165554 0
"66" 105.590085286575 20.6265376807059 1
"67" 249.281179928268 5.12780206097682 -1
"68" 182.672175475274 36.1720013441285 1
"69" 160.786331483952 37.2307126266107 1
"70" 242.349925783624 10.2333780884015 -1
"71" 106.379344796602 21.0822416963281 1
"72" 144.745457199702 35.4133054655461 1
"73" 265.967728506697 -7.49878072717994 -1
"74" 119.400338273055 27.6534005298305 0
"75" 117.186858312113 26.6638618277938 0
"76" 102.972290125439 19.0699426710254 1
"77" 139.128440854626 34.2345274158359 1
"78" 96.4434550581385 14.9011263392455 1
"79" 150.903556143414 36.3764892337805 1
"80" 105.249053127773 20.4276637036108 1
"81" 46.8860245445493 -20.3891469927794 -1
"82" 187.603054768478 35.3615620083296 1
"83" 103.631805206786 19.4685628320293 1
"84" 44.3663920860155 -21.8320225948409 -1
"85" 193.578122113571 34.0821871355517 1
"86" 197.213100419132 33.1391014459013 -1
"87" 100.736935527818 17.6872875065525 1
"88" 77.5679778936698 1.16977278097487 -1
"89" 211.783906114008 28.0344444016999 0
"90" 121.443595031108 28.5205717734506 0
"91" 85.0983650798336 6.85470246619734 -1
"92" 117.606373096687 26.8554228139368 0
"93" 132.628411295356 32.4977406580742 0
"94" 105.188952166094 20.3924930822282 1
"95" 110.68937755056 23.4566677771699 1
"96" 184.583547299055 35.8836770634365 0
"97" 162.767155477639 37.3017865162238 0
"98" 113.648391754701 24.9731946504693 1
"99" 216.588690152002 25.8653320810943 -1
"100" 328.838361132616 -68.002491503496 -1
"101" 209.486544898801 36.7548824014974 0
"102" 243.94766884353 -36.9990579029464 0
"103" 208.417267421561 38.3756263481303 1
"104" 69.1310407168908 44.0947074145269 -1
"105" 147.894366677796 68.0704711879395 1
"106" 245.606183336971 -39.4609587022852 1
"107" 245.205062091791 -38.8828749168545 -1
"108" 236.280392843478 -22.9864173857805 0
"109" 238.482029967126 -27.4654352436547 -1
"110" 235.353255300056 -20.9937460340795 -1
"111" 227.82246624869 -2.99624270301539 0
"112" 320.863650505911 -68.3999906555113 -1
"113" 46.4417845035067 -0.497502833239453 -1
