"ra" "dec" "antirad"
"56" 72.9904612644625 65.0875414632122 1
"57" 73.7842055526716 71.4619945663695 0
"58" 69.8346860072504 -48.8786885820601 1
"59" 70.744380652952 -11.0079989080139 1
"60" 73.5498586170274 69.9322401267122 0
"61" 72.3394680580325 55.8252136691029 -1
"62" 69.8713573626683 -47.9105398049089 -1
"63" 103.567119873639 88.2268900129214 1
"64" 70.8060361945384 -7.41085660276865 -1
"65" 73.3931038769047 68.7664892849634 0
"66" 74.5121595188804 75.0377721624855 0
"67" 73.9625288410117 72.4828362954489 0
"68" 70.4777008262844 -25.3287008455128 -1
"69" 166.838456982423 89.0384214324312 -1
"70" 70.7016802399759 -13.4504566265908 1
"71" 72.0908759911245 50.4985292077085 0
"72" 70.5304900090641 -22.6910693976225 -1
"73" 69.2581849301131 -60.2263757060822 -1
"74" 73.9602856553204 72.4706725392912 0
"75" 70.8976232264671 -1.96584572733472 1
"76" 71.2144256721473 16.5342495532643 1
"77" 239.013697658717 85.3775828144544 -1
"78" 70.3925361620392 -29.3507733297347 -1
"79" 73.1407062099639 66.5926292958281 0
"80" 68.5501043144253 -68.1012263547128 1
"81" 251.052139232137 -7.24959008752121 -1
"82" 70.0139888037461 -43.7725088935062 0
"83" 70.8464426084764 -5.01933633904422 1
"84" 70.9862534109622 3.33834150841235 -1
"85" 69.2885238410282 -59.7722631964291 1
"86" 83.0178617638079 85.4416174557841 -1
"87" 69.8695263831686 -47.9597586531482 1
"88" 72.2829141531258 54.7266431294497 0
"89" 72.0217182067148 48.7616471298898 -1
"90" 72.0214785210161 48.755409028468 0
"91" 70.1753573413168 -38.2863739341195 -1
"92" 71.6706970970978 37.7339591921447 0
"93" 69.1411921171453 -61.8666611263272 1
"94" 73.0038684016233 65.2291826763747 -1
"95" 71.6475320215893 36.8559583437762 -1
"96" 241.462002047636 84.2050420653307 0
"97" 72.871471640242 63.7608994877839 0
"98" 71.500950625268 30.8115010927415 1
"99" 77.6208635894175 81.8450093477867 0
"100" 72.4678917597615 58.1078884453524 0
"101" 74.98650580494 76.719389170093 0
"102" 69.8054720298343 -49.6240567439446 1
"103" 69.64292683616 -53.3874469758673 1
"104" 73.5066730418936 69.6235110450956 0
"105" 71.8031918492005 42.3752245186864 0
"106" 71.5582533726262 33.2766269936235 -1
"107" 248.623708047244 67.4717448240257 -1
"108" 120.96584284548 -9.65347561639432 0
"109" 119.977589675845 0.455456004207965 1
"110" 121.093362229431 -10.9275993653352 1
