"ra" "dec" "antirad"
"1" 219.683826510512 55.3044308845339 -1
"2" 131.143248914097 68.8878892604023 -1
"3" 28.4008945160532 -62.4414709353948 1
"4" 172.145627620351 70.7231959063034 -1
"5" 173.107562576479 70.6513805134728 -1
"6" 51.5144447974177 -41.6731334918922 0
"7" 77.9343141596856 24.0771733000738 0
"8" 37.5767201843724 -56.9571887964325 1
"9" 48.441058015195 -46.0887680098544 -1
"10" 193.659419258387 67.5361885284792 -1
"11" 8.44431745688954 -68.659520435608 -1
"12" 115.063359204541 64.607188444995 -1
"13" 47.2927835581427 -47.5580034824203 1
"14" 26.9744416550411 -63.0978045847723 1
"15" 156.042893164126 16.0548381959463 0
"16" 132.492064536945 -17.9168721145992 0
"17" 151.105078810795 9.10331364005352 0
"18" 116.066032789826 -35.8874674404018 0
"19" 47.2895644739647 -56.0246259212766 0
"20" 149.038400557591 6.07576149664664 0
"21" 65.2318080164022 -55.8343101797588 0
"22" 202.968183469866 51.7809256741391 0
"23" 155.507516969055 15.3250316866598 0
"24" 166.18570267735 28.4600493839391 1
"25" 156.252431574331 16.3386798379853 0
"26" 13.969360414935 -48.4972276795543 -1
"27" 70.1412374351469 -55.3170307480096 0
"28" 154.239028715127 24.7855185109036 1
"29" 153.752230423463 26.9595742508356 1
"30" 145.66826474308 51.9838116500866 1
"31" 275.357673405036 -78.6101644846178 -1
"32" 158.691683649053 1.82404798187803 0
"33" 154.131338254735 25.2734863932837 1
"34" 149.129404903867 43.5766507642052 0
"35" 155.919620574009 16.6825135079643 1
"36" 159.749212772781 -4.02613760548443 0
"37" 155.702713448981 17.7767715039844 0
"38" 152.162720889204 33.4820006941272 1
"39" 328.421951157307 -45.5338462968205 -1
"40" 153.083777023145 22.8180487807565 0
"41" 111.214835283998 -46.333168329585 0
"42" 43.132968735183 -64.1095746414479 0
"43" 145.161525383923 7.72600484056136 0
"44" 155.61362687125 27.0364949807828 1
"45" 178.685099403858 51.5746263216441 0
"46" 164.057815279072 38.7021261936866 0
"47" 171.507668934146 46.222687808924 1
"48" 153.439115493186 23.4304641890769 0
"49" 166.252442435442 41.1604501374942 1
"50" 32.0518265905343 -63.0183734028101 0
"51" 171.369125638563 70.1122518726263 1
"52" 15.9259412758262 -79.5722011870161 -1
"53" 150.605938472121 5.39719053592517 0
"54" 153.313231759608 24.2712579573238 1
"55" 158.087539362004 47.110974094929 0
"56" 148.786682457841 -8.26203292855986 1
"57" 305.179927485257 72.4165665499267 1
"58" 153.250910293424 23.8797734408257 0
"59" 155.307479044879 35.4839969941479 1
"60" 340.109254885166 -53.2562427992823 -1
"61" 29.1955268738059 -75.6076003742884 -1
"62" 130.197062656006 13.5769029385987 0
"63" 120.372656681177 -23.3355426605936 1
"64" 137.844509611034 37.2856047800733 0
"65" 241.163616786918 74.3798728198888 0
"66" 205.39613330665 75.4557343488196 1
"67" 141.562598053419 45.2804867201034 0
"68" 130.492957745305 14.6683450446038 1
"69" 135.861301032341 32.1084485248436 1
"70" 60.8821866348625 23.7043987025492 0
"71" 46.7731717472251 -57.272669525324 1
"72" 50.6808749944028 -45.2217610878572 -1
"73" 214.635784128489 72.6540135649661 -1
"74" 28.101652568926 -76.072966906941 -1
"75" 78.3688531229152 70.7385288193491 -1
"76" 50.2255948273471 -46.9885108680125 1
"77" 44.4142800119621 -62.0367773286567 1
"78" 142.263488355986 8.92910650762772 1
"79" 116.352492870443 18.0023775407623 0
"80" 152.405556224573 4.61135720810396 1
"81" 160.660524827305 0.942542563888688 0
"82" 161.973994340941 0.353508198300966 1
"83" 129.651242699685 13.7711648784101 1
"84" 125.262153041151 15.2766983172165 1
"85" 192.74378869891 52.3073227956987 -1
"86" 161.868079788128 33.7205990094066 0
"87" 169.401517531723 40.2299341049121 1
"88" 153.16397652344 24.0861922168659 0
"89" 356.082728001773 -44.7746072054854 -1
"90" 71.7415054817134 -54.59945735666 0
"91" 170.866608011444 50.4009114502388 1
"92" 173.494356911307 50.860640103951 0
"93" 144.387932724282 41.2092923179883 1
"94" 40.9815130366788 -48.4979760885744 -1
"95" 322.824822518068 -40.3443908710875 -1
"96" 177.279053258323 57.6243826893595 1
"97" 156.009691503711 16.9766110747609 0
"98" 164.975263347475 40.5940688172996 1
"99" 0.607673967070658 -60.4090208654115 -1
"100" 161.043340227177 3.02982312148803 1
"101" 170.24692905236 42.7828114129301 -1
"102" 179.026211170895 60.0545002445916 -1
"103" 149.674364508201 31.7704702843971 1
"104" 324.109267751636 -41.6386495120118 -1
"105" 117.03487820004 -0.515710151085681 0
