"ra" "dec" "antirad"
"1" 331.99638772907 22.7221857324006 1
"2" 312.642921878424 76.375393535384 1
"3" 334.767762133018 -7.1831216677514 1
"4" 245.170527001439 84.9263730514466 1
"5" 335.419594714527 -14.2609515839896 -1
"6" 321.15992839979 68.4159080723015 0
"7" 330.673015972417 34.1625409063815 1
"8" 304.758833803891 79.7401213975012 1
"9" 328.56385597489 47.518853940954 0
"10" 333.225795931064 10.0448054764657 1
"11" 146.911506623876 -54.7482807417636 -1
"12" 133.785789135576 -75.6744223281643 -1
"13" 170.44472835642 72.4665982089232 1
"14" 323.638058532567 64.0047278462663 1
"15" 331.562626539937 26.7470182721457 1
"16" 165.696906238862 66.126370326372 1
"17" 162.659416182602 59.1087090465279 -1
"18" 163.133826637937 60.4463685783619 0
"19" 331.094634039948 30.78989155372 0
"20" 189.838486009563 81.3528419230562 1
"21" 150.985526848834 -31.6870963179322 -1
"22" 278.035271874844 83.8948746247437 1
"23" 155.067642278075 10.4804042266276 0
"24" 327.791716775961 51.1837040624525 0
"25" 327.901052956681 50.697601986101 1
"26" 329.200230429671 44.0516829489058 1
"27" 331.833148673175 24.2675373717365 1
"28" 331.86530543112 23.9660032984814 0
"29" 153.527772433105 -6.71653029312635 -1
"30" 327.578677654115 52.1019600147153 1
"31" 147.877310155413 -50.8040357209433 -1
"32" 115.538832135839 -81.899892837614 -1
"33" 228.170606075592 84.7250612658007 0
"34" 349.805987512733 -71.8163134139051 -1
"35" 176.11348460505 76.6613885210648 0
"36" 158.156833195233 38.3694060234677 1
"37" 334.669563324853 -6.09176453451197 1
"38" 341.295849381018 -54.5757553263942 -1
"39" 154.071320105076 -0.624390625741409 -1
"40" 115.543809563235 -33.2715410593774 1
"41" 356.953282956606 8.69261405226609 0
"42" 74.5404669906542 -31.6155851668143 1
"43" 5.09584167597247 3.27984313247779 1
"44" 54.7881566019384 -25.6719449521201 -1
"45" 352.416688440904 11.5811312419495 1
"46" 236.657525026503 26.3888198538578 -1
"47" 108.980740293428 -33.9341965389463 -1
"48" 352.632260926929 11.4465557506513 0
"49" 132.519966294778 -29.8558344524135 1
"50" 46.2035529720191 -21.9592084919876 1
"51" 72.9768512506141 -31.2737059838874 1
"52" 103.481221729548 -34.2166510055 1
"53" 329.696236706923 23.7493615728849 0
"54" 41.5901858159076 -19.6829705494941 1
"55" 124.367770310798 -31.8093769300578 -1
"56" 7.78296781584027 1.45581786022867 -1
"57" 147.293860660934 -24.7693795848232 -1
"58" 56.3624101317366 -26.2778285470505 1
"59" 141.101584411661 -27.1487078212126 1
"60" 305.165682810245 31.6441167479096 -1
"61" 353.90945355845 10.6434692422809 0
"62" 100.777272698451 -34.2651672350535 -1
"63" 310.862492501206 30.3010587655329 -1
"64" 93.3937540713628 -34.0949919675385 1
