#
#   version : 20090611
#    num_fr : 14
#      time : 20120825 07:33:59.717 UTC
#      unix : 1345880039.717522
#       ntp : LOCK -931 800665 493
#       seq : 647708
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal_20100816_20100506-404-gd3
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   30  -0.434  2033  647695  456.381   82.344  60.014   95.380  -6.34   0.48  0000
   33  -0.334  2481  647698  462.112   82.890  61.035   96.598  -6.85  -0.03  0000
   34  -0.300  3148  647699  464.663   83.144  61.497   97.130  -7.71  -0.89  0000
   35  -0.267  3816  647700  465.091   83.828  61.440   97.331  -7.89  -1.07  0000
   36  -0.234  3457  647701  467.670   84.170  61.898   97.875  -8.16  -1.34  0000
   37  -0.200  3892  647702  470.774   83.959  62.587   98.411  -8.28  -1.46  0000
   38  -0.167  5123  647703  472.165   84.396  62.789   98.741  -8.71  -1.89  0000
   39  -0.133  4212  647704  474.514   84.652  63.233   99.209  -8.52  -1.70  0000
   40  -0.100  4815  647705  477.341   85.555  63.653   99.870  -8.62  -1.80  0000
   41  -0.067  5272  647706  478.948   85.550  64.001  100.150  -8.98  -2.16  0000
   42  -0.033  6130  647707  481.454   85.694  64.517  100.608  -9.02  -2.20  0000
   43   0.000  6556  647708  483.631   86.614  64.811  101.142  -9.25  -2.43  0000
   44   0.033  4528  647709  485.523   86.568  65.239  101.451  -8.63  -1.81  0000
   45   0.067  2714  647710  489.593   87.081  66.050  102.214  -6.96  -0.14  0000
