#
#   version : 20090611
#    num_fr : 16
#      time : 20091122 02:46:05.798 UTC
#      unix : 1258857965.798895
#       ntp : LOCK 2131 295304 1009
#       seq : 49894699
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : 
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   30  -0.367  2456 49894688  278.754  286.638  15.578  -89.402  -6.10  -6.10  0000
   31  -0.334  2293 49894689  278.176  287.863  15.925  -89.573  -6.25  -6.25  0000
   33  -0.267  2513 49894691  281.634  289.764  15.860  -93.307  -6.51  -6.51  0000
   34  -0.234  2613 49894692  283.244  291.910  16.140  -95.595  -6.50  -6.50  0000
   35  -0.200  2345 49894693  285.660  292.965  16.099  -98.061  -6.35  -6.35  0000
   36  -0.167  1878 49894694  285.986  294.435  16.407  -98.894  -6.35  -6.35  0000
   37  -0.133  2896 49894695  288.061  295.618  16.471 -101.073  -7.04  -7.04  0000
   38  -0.100  3026 49894696  288.740  296.394  16.590 -101.908  -7.31  -7.31  0000
   39  -0.067  3399 49894697  290.379  298.064  16.843 -103.817  -7.54  -7.54  0000
   40  -0.033  3410 49894698  291.522  299.832  17.178 -105.275  -7.59  -7.59  0000
   41   0.000  3480 49894699  292.916  300.975  17.350 -106.736  -7.45  -7.45  0000
   42   0.033  3275 49894700  295.067  302.033  17.461 -108.785  -7.53  -7.53  0000
   43   0.067  3295 49894701  296.370  303.697  17.797 -110.209  -7.27  -7.27  0000
   44   0.100  2757 49894702  297.067  304.121  17.863 -110.866  -6.97  -6.97  0000
   45   0.133  2581 49894703  298.506  305.773  18.204 -112.329  -6.71  -6.71  0000
   46   0.167  2201 49894704  300.988  307.637  18.567 -114.609  -5.86  -5.86  0000
