#
#   version : 20090611
#    num_fr : 15
#      time : 20091218 06:47:54.738 UTC
#      unix : 1261118874.738406
#       ntp : LOCK -67 321922 1159
#       seq : 377256
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal 20090611
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   29  -0.267  2304  377248  175.925  390.512  54.673  -80.628  -6.25  -6.25  0000
   30  -0.234  2813  377249  175.697  391.162  54.850  -80.699  -6.58  -6.58  0000
   31  -0.200  2852  377250  174.995  392.066  55.170  -80.715  -6.85  -6.85  0000
   32  -0.167  3308  377251  175.022  392.107  55.174  -80.728  -7.27  -7.27  0000
   33  -0.133  3520  377252  174.624  392.877  55.408  -80.784  -7.35  -7.35  0000
   34  -0.100  3980  377253  173.771  393.579  55.716  -80.730  -7.61  -7.61  0000
   35  -0.067  3920  377254  174.029  393.983  55.751  -80.859  -7.67  -7.67  0000
   36  -0.033  4171  377255  173.804  394.239  55.847  -80.857  -7.76  -7.76  0000
   37   0.000  4710  377256  173.192  394.911  56.102  -80.849  -8.03  -8.03  0000
   38   0.033  4597  377257  173.221  395.493  56.217  -80.960  -7.94  -7.94  0000
   39   0.067  4217  377258  173.155  396.172  56.371  -81.068  -7.87  -7.87  0000
   40   0.100  4609  377259  173.084  396.828  56.521  -81.170  -7.91  -7.91  0000
   41   0.133  4338  377260  172.892  397.184  56.632  -81.193  -7.84  -7.84  0000
   42   0.167  3833  377261  172.249  397.908  56.905  -81.186  -7.60  -7.60  0000
   43   0.200  3734  377262  171.930  398.193  57.025  -81.169  -7.47  -7.47  0000
