#
#   version : 20090611
#    num_fr : 24
#      time : 20100812 06:06:38.615 UTC
#      unix : 1281593198.615263
#       ntp : LOCK -931 122389 695
#       seq : 6177656
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal 20090611
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
   30  -0.734  1394 6177634  245.928  378.263  40.873  -97.721  -6.33  -6.33  0000
   31  -0.701  1741 6177635  245.716  380.866  41.528  -98.054  -6.78  -6.78  0000
   32  -0.667  2214 6177636  246.121  384.264  42.309  -98.703  -7.42  -7.42  0000
   33  -0.634  2539 6177637  245.886  386.975  42.999  -99.018  -7.69  -7.69  0000
   34  -0.601  2944 6177638  246.136  390.467  43.831  -99.592  -7.99  -7.99  0000
   35  -0.567  3173 6177639  245.975  393.203  44.525  -99.911  -8.14  -8.14  0000
   36  -0.534  3288 6177640  245.960  396.374  45.315 -100.325  -8.20  -8.20  0000
   37  -0.500  4179 6177641  246.246  399.362  46.030 -100.796  -8.63  -8.63  0000
   38  -0.467  4188 6177642  246.261  402.530  46.824 -101.192  -8.46  -8.46  0000
   39  -0.434  4430 6177643  246.665  405.777  47.601 -101.703  -8.65  -8.65  0000
   40  -0.400  4892 6177644  246.835  408.884  48.371 -102.112  -8.72  -8.72  0000
   41  -0.367  5131 6177645  246.980  411.640  49.058 -102.463  -8.92  -8.92  0000
   42  -0.334  4980 6177646  247.104  414.784  49.850 -102.840  -8.79  -8.79  0000
   43  -0.300  5706 6177647  247.240  418.075  50.682 -103.225  -9.01  -9.01  0000
   44  -0.267  5976 6177648  247.439  421.031  51.425 -103.583  -9.08  -9.08  0000
   45  -0.234  6127 6177649  247.551  424.064  52.201 -103.914  -9.13  -9.13  0000
   46  -0.200  5874 6177650  247.772  427.424  53.055 -104.297  -9.05  -9.05  0000
   47  -0.167  6427 6177651  247.939  430.020  53.718 -104.584  -9.15  -9.15  0000
   48  -0.133  6498 6177652  248.170  433.469  54.602 -104.959  -9.16  -9.16  0000
   49  -0.100  6993 6177653  248.464  436.166  55.286 -105.275  -9.31  -9.31  0000
   50  -0.067  7035 6177654  248.600  439.545  56.168 -105.598  -9.29  -9.29  0000
   51  -0.033  7358 6177655  249.072  441.792  56.724 -105.909  -9.41  -9.41  0000
   52   0.000 11437 6177656  248.865  446.056  57.879 -106.195  -9.86  -9.86  0000
   53   0.033  3652 6177657  249.360  446.658  57.999 -106.372  -8.17  -8.17  0000
