#
#   version : 20090611
#    num_fr : 8
#      time : 20140914 08:38:07.227 UTC
#      unix : 1410683887.227849
#       ntp : LOCK 4185 693452 2987
#       seq : 69048535
#       mul : 0 [A]
#      site : 01
#    latlon : 45.5749 -94.3965 370.0
#      text : Collegeville
#     label : 
#     plate : metal_20100816_20100506-404-gd3
#      geom : 640 480
#    reject : 0
#
#  fr    time   sum     seq       cx       cy      th      phi    lsp    mag  flag
    6  -0.634  8641 69048516  115.552  208.135  55.381  -25.105  -7.28  -0.46  0000
    8  -0.367  6624 69048524  114.935  187.710  57.014  -19.786    nan    nan  0000
   13  -0.200 10435 69048529  115.556  208.135  55.380  -25.105  -6.55   0.27  0000
   14  -0.167  9416 69048530  115.499  208.177  55.394  -25.120  -7.16  -0.34  0000
   16  -0.100  7374 69048532  114.578  209.101  55.608  -25.424  -7.80  -0.98  0000
   19   0.000 12380 69048535  114.777  209.068  55.552  -25.403  -7.80  -0.98  0000
   24   0.167  7576 69048540  128.824  203.047  51.895  -22.784    nan    nan  0000
   26   0.234  8270 69048542  129.632  202.170  51.726  -22.472    nan    nan  0000
